l: lamda, n_clause, rule_type, id_cv, train_size, val_size, n_partitions, real_partition_size, n_features, training_time, val_accuracy, rule_size, rule, classification_report_train, classification_report_val
l: 5,1,CNF,0,460,52,1,[460; 460],540,22.311802,0.980769,4,[X12 >= 5.123200 OR X22 >= 115.900000 OR X23 >= 926.960000 OR X27 >= 0.150800],{'0.0': {'precision': 0.9590443686006825; 'recall': 0.972318339100346; 'f1-score': 0.9656357388316152; 'support': 289}; '1.0': {'precision': 0.9520958083832335; 'recall': 0.9298245614035088; 'f1-score': 0.9408284023668639; 'support': 171}; 'accuracy': 0.9565217391304348; 'macro avg': {'precision': 0.955570088491958; 'recall': 0.9510714502519274; 'f1-score': 0.9532320705992396; 'support': 460}; 'weighted avg': {'precision': 0.9564613168676743; 'recall': 0.9565217391304348; 'f1-score': 0.9564138811458055; 'support': 460}},{'0.0': {'precision': 1.0; 'recall': 0.96875; 'f1-score': 0.9841269841269841; 'support': 32}; '1.0': {'precision': 0.9523809523809523; 'recall': 1.0; 'f1-score': 0.975609756097561; 'support': 20}; 'accuracy': 0.9807692307692307; 'macro avg': {'precision': 0.9761904761904762; 'recall': 0.984375; 'f1-score': 0.9798683701122726; 'support': 52}; 'weighted avg': {'precision': 0.9816849816849818; 'recall': 0.9807692307692307; 'f1-score': 0.9808511271925906; 'support': 52}}
l: 5,1,DNF,0,460,52,1,[460; 460],540,31.045760,0.942308,4,[X1 >= 14.078000 AND X7 >= 0.048318 AND X23 >= 686.500000 AND X26 >= 0.226700],{'0.0': {'precision': 0.9228295819935691; 'recall': 0.9930795847750865; 'f1-score': 0.9566666666666667; 'support': 289}; '1.0': {'precision': 0.9865771812080537; 'recall': 0.8596491228070176; 'f1-score': 0.9187500000000001; 'support': 171}; 'accuracy': 0.9434782608695652; 'macro avg': {'precision': 0.9547033816008115; 'recall': 0.926364353791052; 'f1-score': 0.9377083333333334; 'support': 460}; 'weighted avg': {'precision': 0.9465270590928667; 'recall': 0.9434782608695652; 'f1-score': 0.9425715579710147; 'support': 460}},{'0.0': {'precision': 0.9393939393939394; 'recall': 0.96875; 'f1-score': 0.9538461538461539; 'support': 32}; '1.0': {'precision': 0.9473684210526315; 'recall': 0.9; 'f1-score': 0.9230769230769231; 'support': 20}; 'accuracy': 0.9423076923076923; 'macro avg': {'precision': 0.9433811802232854; 'recall': 0.934375; 'f1-score': 0.9384615384615385; 'support': 52}; 'weighted avg': {'precision': 0.9424610477242056; 'recall': 0.9423076923076923; 'f1-score': 0.9420118343195267; 'support': 52}}
l: 5,1,DNF,1,460,52,1,[460; 460],540,31.463569,0.961538,6,[X1 >= 14.078000 AND X7 >= 0.048318 AND X10 >= 0.183080 AND X23 >= 686.500000 AND X24 >= 0.102960 AND X26 >= 0.177180],{'0.0': {'precision': 0.9281045751633987; 'recall': 0.9861111111111112; 'f1-score': 0.9562289562289562; 'support': 288}; '1.0': {'precision': 0.974025974025974; 'recall': 0.872093023255814; 'f1-score': 0.9202453987730062; 'support': 172}; 'accuracy': 0.9434782608695652; 'macro avg': {'precision': 0.9510652745946864; 'recall': 0.9291020671834626; 'f1-score': 0.9382371775009812; 'support': 460}; 'weighted avg': {'precision': 0.9452751851728834; 'recall': 0.9434782608695652; 'f1-score': 0.942774234745427; 'support': 460}},{'0.0': {'precision': 0.9428571428571428; 'recall': 1.0; 'f1-score': 0.9705882352941176; 'support': 33}; '1.0': {'precision': 1.0; 'recall': 0.8947368421052632; 'f1-score': 0.9444444444444444; 'support': 19}; 'accuracy': 0.9615384615384616; 'macro avg': {'precision': 0.9714285714285714; 'recall': 0.9473684210526316; 'f1-score': 0.957516339869281; 'support': 52}; 'weighted avg': {'precision': 0.9637362637362638; 'recall': 0.9615384615384616; 'f1-score': 0.961035696329814; 'support': 52}}
l: 5,1,DNF,2,461,51,1,[461; 461],540,31.137129,0.921569,4,[X1 >= 14.078000 AND X7 >= 0.048318 AND X23 >= 686.500000 AND X26 >= 0.226700],{'0.0': {'precision': 0.9285714285714286; 'recall': 0.9896193771626297; 'f1-score': 0.9581239530988276; 'support': 289}; '1.0': {'precision': 0.9803921568627451; 'recall': 0.872093023255814; 'f1-score': 0.923076923076923; 'support': 172}; 'accuracy': 0.9457700650759219; 'macro avg': {'precision': 0.9544817927170868; 'recall': 0.9308562002092218; 'f1-score': 0.9406004380878753; 'support': 461}; 'weighted avg': {'precision': 0.9479058434653689; 'recall': 0.9457700650759219; 'f1-score': 0.9450478377761214; 'support': 461}},{'0.0': {'precision': 0.8888888888888888; 'recall': 1.0; 'f1-score': 0.9411764705882353; 'support': 32}; '1.0': {'precision': 1.0; 'recall': 0.7894736842105263; 'f1-score': 0.8823529411764706; 'support': 19}; 'accuracy': 0.9215686274509803; 'macro avg': {'precision': 0.9444444444444444; 'recall': 0.8947368421052632; 'f1-score': 0.9117647058823529; 'support': 51}; 'weighted avg': {'precision': 0.9302832244008714; 'recall': 0.9215686274509803; 'f1-score': 0.9192618223760093; 'support': 51}}
l: 5,1,DNF,3,461,51,1,[461; 461],540,31.025673,0.823529,6,[X4 >= 0.079654 AND X20 >= 14.970000 AND X21 >= 20.176000 AND X23 >= 686.500000 AND X26 >= 0.177180 AND X27 >= 0.099930],{'0.0': {'precision': 0.9493243243243243; 'recall': 0.972318339100346; 'f1-score': 0.9606837606837607; 'support': 289}; '1.0': {'precision': 0.9515151515151515; 'recall': 0.9127906976744186; 'f1-score': 0.9317507418397627; 'support': 172}; 'accuracy': 0.9501084598698482; 'macro avg': {'precision': 0.9504197379197379; 'recall': 0.9425545183873822; 'f1-score': 0.9462172512617617; 'support': 461}; 'weighted avg': {'precision': 0.950141726226325; 'recall': 0.9501084598698482; 'f1-score': 0.9498887948677788; 'support': 461}},{'0.0': {'precision': 0.8709677419354839; 'recall': 0.84375; 'f1-score': 0.8571428571428571; 'support': 32}; '1.0': {'precision': 0.75; 'recall': 0.7894736842105263; 'f1-score': 0.7692307692307692; 'support': 19}; 'accuracy': 0.8235294117647058; 'macro avg': {'precision': 0.810483870967742; 'recall': 0.8166118421052632; 'f1-score': 0.8131868131868132; 'support': 51}; 'weighted avg': {'precision': 0.8259013282732448; 'recall': 0.8235294117647058; 'f1-score': 0.8243912949795302; 'support': 51}}
l: 5,1,DNF,4,461,51,1,[461; 461],540,32.412906,0.941176,4,[X7 >= 0.048318 AND X10 >= 0.183080 AND X23 >= 686.500000 AND X26 >= 0.177180],{'0.0': {'precision': 0.9368770764119602; 'recall': 0.9757785467128027; 'f1-score': 0.9559322033898304; 'support': 289}; '1.0': {'precision': 0.95625; 'recall': 0.8895348837209303; 'f1-score': 0.9216867469879518; 'support': 172}; 'accuracy': 0.9436008676789588; 'macro avg': {'precision': 0.94656353820598; 'recall': 0.9326567152168665; 'f1-score': 0.9388094751888911; 'support': 461}; 'weighted avg': {'precision': 0.9441051520239836; 'recall': 0.9436008676789588; 'f1-score': 0.9431551567496501; 'support': 461}},{'0.0': {'precision': 0.9393939393939394; 'recall': 0.96875; 'f1-score': 0.9538461538461539; 'support': 32}; '1.0': {'precision': 0.9444444444444444; 'recall': 0.8947368421052632; 'f1-score': 0.918918918918919; 'support': 19}; 'accuracy': 0.9411764705882353; 'macro avg': {'precision': 0.9419191919191919; 'recall': 0.9317434210526316; 'f1-score': 0.9363825363825364; 'support': 51}; 'weighted avg': {'precision': 0.9412755000990295; 'recall': 0.9411764705882353; 'f1-score': 0.9408340467163996; 'support': 51}}
l: 5,1,DNF,5,461,51,1,[461; 461],540,29.488752,0.941176,4,[X1 >= 14.078000 AND X7 >= 0.048318 AND X23 >= 686.500000 AND X26 >= 0.226700],{'0.0': {'precision': 0.9255663430420712; 'recall': 0.9896193771626297; 'f1-score': 0.9565217391304347; 'support': 289}; '1.0': {'precision': 0.9802631578947368; 'recall': 0.8662790697674418; 'f1-score': 0.9197530864197531; 'support': 172}; 'accuracy': 0.9436008676789588; 'macro avg': {'precision': 0.952914750468404; 'recall': 0.9279492234650357; 'f1-score': 0.9381374127750939; 'support': 461}; 'weighted avg': {'precision': 0.9459738314469702; 'recall': 0.9436008676789588; 'f1-score': 0.9428032830214602; 'support': 461}},{'0.0': {'precision': 0.9142857142857143; 'recall': 1.0; 'f1-score': 0.955223880597015; 'support': 32}; '1.0': {'precision': 1.0; 'recall': 0.8421052631578947; 'f1-score': 0.9142857142857143; 'support': 19}; 'accuracy': 0.9411764705882353; 'macro avg': {'precision': 0.9571428571428571; 'recall': 0.9210526315789473; 'f1-score': 0.9347547974413646; 'support': 51}; 'weighted avg': {'precision': 0.9462184873949578; 'recall': 0.9411764705882353; 'f1-score': 0.939972406873197; 'support': 51}}
l: 5,1,DNF,6,461,51,1,[461; 461],540,36.409870,0.921569,5,[X1 >= 14.078000 AND X7 >= 0.048318 AND X10 >= 0.183080 AND X23 >= 686.500000 AND X26 >= 0.177180],{'0.0': {'precision': 0.9401993355481728; 'recall': 0.9792387543252595; 'f1-score': 0.9593220338983052; 'support': 289}; '1.0': {'precision': 0.9625; 'recall': 0.8953488372093024; 'f1-score': 0.927710843373494; 'support': 172}; 'accuracy': 0.9479392624728851; 'macro avg': {'precision': 0.9513496677740865; 'recall': 0.9372937957672809; 'f1-score': 0.9435164386358996; 'support': 461}; 'weighted avg': {'precision': 0.9485197569922384; 'recall': 0.9479392624728851; 'f1-score': 0.947527836999677; 'support': 461}},{'0.0': {'precision': 0.8888888888888888; 'recall': 1.0; 'f1-score': 0.9411764705882353; 'support': 32}; '1.0': {'precision': 1.0; 'recall': 0.7894736842105263; 'f1-score': 0.8823529411764706; 'support': 19}; 'accuracy': 0.9215686274509803; 'macro avg': {'precision': 0.9444444444444444; 'recall': 0.8947368421052632; 'f1-score': 0.9117647058823529; 'support': 51}; 'weighted avg': {'precision': 0.9302832244008714; 'recall': 0.9215686274509803; 'f1-score': 0.9192618223760093; 'support': 51}}
l: 5,1,DNF,7,461,51,1,[461; 461],540,28.277999,0.862745,6,[X1 >= 14.078000 AND X7 >= 0.048318 AND X10 >= 0.183080 AND X20 >= 14.970000 AND X24 >= 0.102960 AND X26 >= 0.177180],{'0.0': {'precision': 0.9348534201954397; 'recall': 0.9930795847750865; 'f1-score': 0.9630872483221478; 'support': 289}; '1.0': {'precision': 0.987012987012987; 'recall': 0.8837209302325582; 'f1-score': 0.9325153374233128; 'support': 172}; 'accuracy': 0.9522776572668112; 'macro avg': {'precision': 0.9609332036042133; 'recall': 0.9384002575038224; 'f1-score': 0.9478012928727303; 'support': 461}; 'weighted avg': {'precision': 0.9543142564050235; 'recall': 0.9522776572668112; 'f1-score': 0.9516808086809339; 'support': 461}},{'0.0': {'precision': 0.8787878787878788; 'recall': 0.90625; 'f1-score': 0.8923076923076922; 'support': 32}; '1.0': {'precision': 0.8333333333333334; 'recall': 0.7894736842105263; 'f1-score': 0.8108108108108109; 'support': 19}; 'accuracy': 0.8627450980392157; 'macro avg': {'precision': 0.8560606060606061; 'recall': 0.8478618421052632; 'f1-score': 0.8515592515592516; 'support': 51}; 'weighted avg': {'precision': 0.8618538324420677; 'recall': 0.8627450980392157; 'f1-score': 0.8619461090049324; 'support': 51}}
l: 5,1,DNF,8,461,51,1,[461; 461],540,37.930381,0.921569,4,[X1 >= 14.078000 AND X7 >= 0.048318 AND X23 >= 686.500000 AND X26 >= 0.177180],{'0.0': {'precision': 0.9342105263157895; 'recall': 0.9826989619377162; 'f1-score': 0.957841483979764; 'support': 289}; '1.0': {'precision': 0.9681528662420382; 'recall': 0.8837209302325582; 'f1-score': 0.9240121580547113; 'support': 172}; 'accuracy': 0.9457700650759219; 'macro avg': {'precision': 0.9511816962789139; 'recall': 0.9332099460851372; 'f1-score': 0.9409268210172377; 'support': 461}; 'weighted avg': {'precision': 0.9468744796071448; 'recall': 0.9457700650759219; 'f1-score': 0.9452196964328896; 'support': 461}},{'0.0': {'precision': 0.9375; 'recall': 0.9375; 'f1-score': 0.9375; 'support': 32}; '1.0': {'precision': 0.8947368421052632; 'recall': 0.8947368421052632; 'f1-score': 0.8947368421052632; 'support': 19}; 'accuracy': 0.9215686274509803; 'macro avg': {'precision': 0.9161184210526316; 'recall': 0.9161184210526316; 'f1-score': 0.9161184210526316; 'support': 51}; 'weighted avg': {'precision': 0.9215686274509803; 'recall': 0.9215686274509803; 'f1-score': 0.9215686274509803; 'support': 51}}
l: 5,1,DNF,9,461,51,1,[461; 461],540,32.187899,0.921569,5,[X1 >= 14.078000 AND X7 >= 0.048318 AND X13 >= 16.640000 AND X23 >= 686.500000 AND X26 >= 0.177180],{'0.0': {'precision': 0.9342105263157895; 'recall': 0.9826989619377162; 'f1-score': 0.957841483979764; 'support': 289}; '1.0': {'precision': 0.9681528662420382; 'recall': 0.8837209302325582; 'f1-score': 0.9240121580547113; 'support': 172}; 'accuracy': 0.9457700650759219; 'macro avg': {'precision': 0.9511816962789139; 'recall': 0.9332099460851372; 'f1-score': 0.9409268210172377; 'support': 461}; 'weighted avg': {'precision': 0.9468744796071448; 'recall': 0.9457700650759219; 'f1-score': 0.9452196964328896; 'support': 461}},{'0.0': {'precision': 0.9117647058823529; 'recall': 0.96875; 'f1-score': 0.9393939393939394; 'support': 32}; '1.0': {'precision': 0.9411764705882353; 'recall': 0.8421052631578947; 'f1-score': 0.8888888888888888; 'support': 19}; 'accuracy': 0.9215686274509803; 'macro avg': {'precision': 0.9264705882352942; 'recall': 0.9054276315789473; 'f1-score': 0.9141414141414141; 'support': 51}; 'weighted avg': {'precision': 0.9227220299884661; 'recall': 0.9215686274509803; 'f1-score': 0.9205783323430382; 'support': 51}}
r: ---> Params: {'lamda': 5, 'n_clause': 1, 'rule_type': 'DNF', 'real_partition_size': [461, 461], 'n_partitions': 1}, (mean val acc cv) 0.915875 (+- 0.039426), (mean training time) 32.137994 (+- 2.787178)
l: 5,2,CNF,0,460,52,1,[460; 460],540,1002.209606,0.923077,8,[X7 >= 0.048318 OR X13 >= 54.088000 OR X23 >= 926.960000] AND [X1 >= 21.272000 OR X2 >= 111.680000 OR X9 < 0.055338 OR X17 < 0.009617 OR X27 >= 0.150800],{'0.0': {'precision': 0.9826388888888888; 'recall': 0.9792387543252595; 'f1-score': 0.9809358752166377; 'support': 289}; '1.0': {'precision': 0.9651162790697675; 'recall': 0.9707602339181286; 'f1-score': 0.967930029154519; 'support': 171}; 'accuracy': 0.9760869565217392; 'macro avg': {'precision': 0.9738775839793281; 'recall': 0.9749994941216941; 'f1-score': 0.9744329521855783; 'support': 460}; 'weighted avg': {'precision': 0.9761250491517808; 'recall': 0.9760869565217392; 'f1-score': 0.976101093310937; 'support': 460}},{'0.0': {'precision': 0.9375; 'recall': 0.9375; 'f1-score': 0.9375; 'support': 32}; '1.0': {'precision': 0.9; 'recall': 0.9; 'f1-score': 0.9; 'support': 20}; 'accuracy': 0.9230769230769231; 'macro avg': {'precision': 0.91875; 'recall': 0.91875; 'f1-score': 0.91875; 'support': 52}; 'weighted avg': {'precision': 0.9230769230769231; 'recall': 0.9230769230769231; 'f1-score': 0.9230769230769231; 'support': 52}}
