l: lamda, n_clause, rule_type, id_cv, train_size, val_size, n_partitions, real_partition_size, n_features, training_time, val_accuracy, rule_size, rule, classification_report_train, classification_report_val
l: 5,1,CNF,0,460,52,1,[460; 460],122,1.620744,0.923077,4,[X7 >= 0.079005 OR X12 >= 5.131000 OR X23 >= 884.550000 OR X27 >= 0.175750],{'0.0': {'precision': 0.95578231292517; 'recall': 0.972318339100346; 'f1-score': 0.9639794168096055; 'support': 289}; '1.0': {'precision': 0.9518072289156626; 'recall': 0.9239766081871345; 'f1-score': 0.9376854599406528; 'support': 171}; 'accuracy': 0.9543478260869566; 'macro avg': {'precision': 0.9537947709204163; 'recall': 0.9481474736437403; 'f1-score': 0.9508324383751292; 'support': 460}; 'weighted avg': {'precision': 0.9543046186520706; 'recall': 0.9543478260869566; 'f1-score': 0.9542049241474514; 'support': 460}},{'0.0': {'precision': 0.9117647058823529; 'recall': 0.96875; 'f1-score': 0.9393939393939394; 'support': 32}; '1.0': {'precision': 0.9444444444444444; 'recall': 0.85; 'f1-score': 0.8947368421052632; 'support': 20}; 'accuracy': 0.9230769230769231; 'macro avg': {'precision': 0.9281045751633987; 'recall': 0.909375; 'f1-score': 0.9170653907496014; 'support': 52}; 'weighted avg': {'precision': 0.924333836098542; 'recall': 0.9230769230769231; 'f1-score': 0.9222181327444485; 'support': 52}}
l: 5,1,DNF,0,460,52,1,[460; 460],122,4.915995,0.903846,3,[X6 >= 0.069225 AND X20 >= 14.905000 AND X27 >= 0.109550],{'0.0': {'precision': 0.9488054607508533; 'recall': 0.9619377162629758; 'f1-score': 0.9553264604810996; 'support': 289}; '1.0': {'precision': 0.9341317365269461; 'recall': 0.9122807017543859; 'f1-score': 0.923076923076923; 'support': 171}; 'accuracy': 0.9434782608695652; 'macro avg': {'precision': 0.9414685986388998; 'recall': 0.9371092090086808; 'f1-score': 0.9392016917790114; 'support': 460}; 'weighted avg': {'precision': 0.9433506632676183; 'recall': 0.9434782608695652; 'f1-score': 0.9433380454895469; 'support': 460}},{'0.0': {'precision': 0.8857142857142857; 'recall': 0.96875; 'f1-score': 0.9253731343283582; 'support': 32}; '1.0': {'precision': 0.9411764705882353; 'recall': 0.8; 'f1-score': 0.8648648648648648; 'support': 20}; 'accuracy': 0.9038461538461539; 'macro avg': {'precision': 0.9134453781512605; 'recall': 0.884375; 'f1-score': 0.8951189995966116; 'support': 52}; 'weighted avg': {'precision': 0.9070458952811895; 'recall': 0.9038461538461539; 'f1-score': 0.9021007229962452; 'support': 52}}
l: 5,1,DNF,1,460,52,1,[460; 460],122,4.204733,0.923077,3,[X7 >= 0.051420 AND X23 >= 696.050000 AND X26 >= 0.216400],{'0.0': {'precision': 0.930921052631579; 'recall': 0.9826388888888888; 'f1-score': 0.956081081081081; 'support': 288}; '1.0': {'precision': 0.967948717948718; 'recall': 0.877906976744186; 'f1-score': 0.9207317073170732; 'support': 172}; 'accuracy': 0.9434782608695652; 'macro avg': {'precision': 0.9494348852901484; 'recall': 0.9302729328165374; 'f1-score': 0.9384063941990771; 'support': 460}; 'weighted avg': {'precision': 0.9447661796632049; 'recall': 0.9434782608695652; 'f1-score': 0.9428634891519303; 'support': 460}},{'0.0': {'precision': 0.9142857142857143; 'recall': 0.9696969696969697; 'f1-score': 0.9411764705882354; 'support': 33}; '1.0': {'precision': 0.9411764705882353; 'recall': 0.8421052631578947; 'f1-score': 0.8888888888888888; 'support': 19}; 'accuracy': 0.9230769230769231; 'macro avg': {'precision': 0.9277310924369748; 'recall': 0.9059011164274322; 'f1-score': 0.9150326797385622; 'support': 52}; 'weighted avg': {'precision': 0.9241111829347124; 'recall': 0.9230769230769231; 'f1-score': 0.922071392659628; 'support': 52}}
l: 5,1,DNF,2,461,51,1,[461; 461],122,5.059299,0.921569,3,[X7 >= 0.051420 AND X23 >= 696.050000 AND X26 >= 0.216400],{'0.0': {'precision': 0.9283387622149837; 'recall': 0.986159169550173; 'f1-score': 0.9563758389261745; 'support': 289}; '1.0': {'precision': 0.974025974025974; 'recall': 0.872093023255814; 'f1-score': 0.9202453987730062; 'support': 172}; 'accuracy': 0.9436008676789588; 'macro avg': {'precision': 0.9511823681204788; 'recall': 0.9291260964029935; 'f1-score': 0.9383106188495903; 'support': 461}; 'weighted avg': {'precision': 0.9453847501357869; 'recall': 0.9436008676789588; 'f1-score': 0.9428955011683764; 'support': 461}},{'0.0': {'precision': 0.9375; 'recall': 0.9375; 'f1-score': 0.9375; 'support': 32}; '1.0': {'precision': 0.8947368421052632; 'recall': 0.8947368421052632; 'f1-score': 0.8947368421052632; 'support': 19}; 'accuracy': 0.9215686274509803; 'macro avg': {'precision': 0.9161184210526316; 'recall': 0.9161184210526316; 'f1-score': 0.9161184210526316; 'support': 51}; 'weighted avg': {'precision': 0.9215686274509803; 'recall': 0.9215686274509803; 'f1-score': 0.9215686274509803; 'support': 51}}
l: 5,1,DNF,3,461,51,1,[461; 461],122,3.800512,0.941176,3,[X7 >= 0.051420 AND X20 >= 14.905000 AND X26 >= 0.216400],{'0.0': {'precision': 0.9337748344370861; 'recall': 0.9757785467128027; 'f1-score': 0.9543147208121827; 'support': 289}; '1.0': {'precision': 0.9559748427672956; 'recall': 0.8837209302325582; 'f1-score': 0.9184290030211482; 'support': 172}; 'accuracy': 0.9414316702819957; 'macro avg': {'precision': 0.9448748386021908; 'recall': 0.9297497384726805; 'f1-score': 0.9363718619166654; 'support': 461}; 'weighted avg': {'precision': 0.9420577008856675; 'recall': 0.9414316702819957; 'f1-score': 0.9409256894454627; 'support': 461}},{'0.0': {'precision': 0.9142857142857143; 'recall': 1.0; 'f1-score': 0.955223880597015; 'support': 32}; '1.0': {'precision': 1.0; 'recall': 0.8421052631578947; 'f1-score': 0.9142857142857143; 'support': 19}; 'accuracy': 0.9411764705882353; 'macro avg': {'precision': 0.9571428571428571; 'recall': 0.9210526315789473; 'f1-score': 0.9347547974413646; 'support': 51}; 'weighted avg': {'precision': 0.9462184873949578; 'recall': 0.9411764705882353; 'f1-score': 0.939972406873197; 'support': 51}}
l: 5,1,DNF,4,461,51,1,[461; 461],122,3.839072,0.901961,4,[X7 >= 0.051420 AND X13 >= 18.515000 AND X20 >= 14.905000 AND X26 >= 0.216400],{'0.0': {'precision': 0.9313725490196079; 'recall': 0.986159169550173; 'f1-score': 0.957983193277311; 'support': 289}; '1.0': {'precision': 0.9741935483870968; 'recall': 0.877906976744186; 'f1-score': 0.9235474006116208; 'support': 172}; 'accuracy': 0.9457700650759219; 'macro avg': {'precision': 0.9527830487033524; 'recall': 0.9320330731471795; 'f1-score': 0.9407652969444659; 'support': 461}; 'weighted avg': {'precision': 0.9473491474820983; 'recall': 0.9457700650759219; 'f1-score': 0.9451351318055135; 'support': 461}},{'0.0': {'precision': 0.9090909090909091; 'recall': 0.9375; 'f1-score': 0.923076923076923; 'support': 32}; '1.0': {'precision': 0.8888888888888888; 'recall': 0.8421052631578947; 'f1-score': 0.8648648648648649; 'support': 19}; 'accuracy': 0.9019607843137255; 'macro avg': {'precision': 0.898989898989899; 'recall': 0.8898026315789473; 'f1-score': 0.8939708939708939; 'support': 51}; 'weighted avg': {'precision': 0.9015646662705487; 'recall': 0.9019607843137255; 'f1-score': 0.901390077860666; 'support': 51}}
l: 5,1,DNF,5,461,51,1,[461; 461],122,3.627627,0.941176,3,[X7 >= 0.051420 AND X23 >= 696.050000 AND X26 >= 0.216400],{'0.0': {'precision': 0.930921052631579; 'recall': 0.9792387543252595; 'f1-score': 0.954468802698145; 'support': 289}; '1.0': {'precision': 0.9617834394904459; 'recall': 0.877906976744186; 'f1-score': 0.9179331306990881; 'support': 172}; 'accuracy': 0.9414316702819957; 'macro avg': {'precision': 0.9463522460610124; 'recall': 0.9285728655347227; 'f1-score': 0.9362009666986166; 'support': 461}; 'weighted avg': {'precision': 0.9424358694205704; 'recall': 0.9414316702819957; 'f1-score': 0.9408372721475208; 'support': 461}},{'0.0': {'precision': 0.9142857142857143; 'recall': 1.0; 'f1-score': 0.955223880597015; 'support': 32}; '1.0': {'precision': 1.0; 'recall': 0.8421052631578947; 'f1-score': 0.9142857142857143; 'support': 19}; 'accuracy': 0.9411764705882353; 'macro avg': {'precision': 0.9571428571428571; 'recall': 0.9210526315789473; 'f1-score': 0.9347547974413646; 'support': 51}; 'weighted avg': {'precision': 0.9462184873949578; 'recall': 0.9411764705882353; 'f1-score': 0.939972406873197; 'support': 51}}
l: 5,1,DNF,6,461,51,1,[461; 461],122,4.430809,0.941176,3,[X7 >= 0.051420 AND X20 >= 14.905000 AND X26 >= 0.216400],{'0.0': {'precision': 0.930921052631579; 'recall': 0.9792387543252595; 'f1-score': 0.954468802698145; 'support': 289}; '1.0': {'precision': 0.9617834394904459; 'recall': 0.877906976744186; 'f1-score': 0.9179331306990881; 'support': 172}; 'accuracy': 0.9414316702819957; 'macro avg': {'precision': 0.9463522460610124; 'recall': 0.9285728655347227; 'f1-score': 0.9362009666986166; 'support': 461}; 'weighted avg': {'precision': 0.9424358694205704; 'recall': 0.9414316702819957; 'f1-score': 0.9408372721475208; 'support': 461}},{'0.0': {'precision': 0.9393939393939394; 'recall': 0.96875; 'f1-score': 0.9538461538461539; 'support': 32}; '1.0': {'precision': 0.9444444444444444; 'recall': 0.8947368421052632; 'f1-score': 0.918918918918919; 'support': 19}; 'accuracy': 0.9411764705882353; 'macro avg': {'precision': 0.9419191919191919; 'recall': 0.9317434210526316; 'f1-score': 0.9363825363825364; 'support': 51}; 'weighted avg': {'precision': 0.9412755000990295; 'recall': 0.9411764705882353; 'f1-score': 0.9408340467163996; 'support': 51}}
l: 5,1,DNF,7,461,51,1,[461; 461],122,4.605187,0.941176,3,[X7 >= 0.051420 AND X23 >= 696.050000 AND X26 >= 0.216400],{'0.0': {'precision': 0.9281045751633987; 'recall': 0.9826989619377162; 'f1-score': 0.9546218487394957; 'support': 289}; '1.0': {'precision': 0.967741935483871; 'recall': 0.872093023255814; 'f1-score': 0.9174311926605504; 'support': 172}; 'accuracy': 0.9414316702819957; 'macro avg': {'precision': 0.9479232553236349; 'recall': 0.9273959925967651; 'f1-score': 0.9360265207000231; 'support': 461}; 'weighted avg': {'precision': 0.9428933516820999; 'recall': 0.9414316702819957; 'f1-score': 0.9407459423499542; 'support': 461}},{'0.0': {'precision': 0.9393939393939394; 'recall': 0.96875; 'f1-score': 0.9538461538461539; 'support': 32}; '1.0': {'precision': 0.9444444444444444; 'recall': 0.8947368421052632; 'f1-score': 0.918918918918919; 'support': 19}; 'accuracy': 0.9411764705882353; 'macro avg': {'precision': 0.9419191919191919; 'recall': 0.9317434210526316; 'f1-score': 0.9363825363825364; 'support': 51}; 'weighted avg': {'precision': 0.9412755000990295; 'recall': 0.9411764705882353; 'f1-score': 0.9408340467163996; 'support': 51}}
l: 5,1,DNF,8,461,51,1,[461; 461],122,2.457598,0.921569,3,[X7 >= 0.051420 AND X23 >= 696.050000 AND X26 >= 0.216400],{'0.0': {'precision': 0.933993399339934; 'recall': 0.9792387543252595; 'f1-score': 0.956081081081081; 'support': 289}; '1.0': {'precision': 0.9620253164556962; 'recall': 0.8837209302325582; 'f1-score': 0.9212121212121213; 'support': 172}; 'accuracy': 0.9436008676789588; 'macro avg': {'precision': 0.948009357897815; 'recall': 0.9314798422789088; 'f1-score': 0.9386466011466011; 'support': 461}; 'weighted avg': {'precision': 0.9444521623419103; 'recall': 0.9436008676789588; 'f1-score': 0.9430714040800808; 'support': 461}},{'0.0': {'precision': 0.8888888888888888; 'recall': 1.0; 'f1-score': 0.9411764705882353; 'support': 32}; '1.0': {'precision': 1.0; 'recall': 0.7894736842105263; 'f1-score': 0.8823529411764706; 'support': 19}; 'accuracy': 0.9215686274509803; 'macro avg': {'precision': 0.9444444444444444; 'recall': 0.8947368421052632; 'f1-score': 0.9117647058823529; 'support': 51}; 'weighted avg': {'precision': 0.9302832244008714; 'recall': 0.9215686274509803; 'f1-score': 0.9192618223760093; 'support': 51}}
l: 5,1,DNF,9,461,51,1,[461; 461],122,3.406222,0.960784,4,[X6 >= 0.069225 AND X20 >= 14.905000 AND X26 >= 0.216400 AND X27 >= 0.109550],{'0.0': {'precision': 0.9364548494983278; 'recall': 0.9688581314878892; 'f1-score': 0.9523809523809523; 'support': 289}; '1.0': {'precision': 0.9444444444444444; 'recall': 0.8895348837209303; 'f1-score': 0.9161676646706587; 'support': 172}; 'accuracy': 0.9392624728850325; 'macro avg': {'precision': 0.9404496469713861; 'recall': 0.9291965076044097; 'f1-score': 0.9342743085258055; 'support': 461}; 'weighted avg': {'precision': 0.9394357829706316; 'recall': 0.9392624728850325; 'f1-score': 0.9388697040378493; 'support': 461}},{'0.0': {'precision': 0.96875; 'recall': 0.96875; 'f1-score': 0.96875; 'support': 32}; '1.0': {'precision': 0.9473684210526315; 'recall': 0.9473684210526315; 'f1-score': 0.9473684210526315; 'support': 19}; 'accuracy': 0.9607843137254902; 'macro avg': {'precision': 0.9580592105263157; 'recall': 0.9580592105263157; 'f1-score': 0.9580592105263157; 'support': 51}; 'weighted avg': {'precision': 0.9607843137254902; 'recall': 0.9607843137254902; 'f1-score': 0.9607843137254902; 'support': 51}}
r: ---> Params: {'lamda': 5, 'n_clause': 1, 'rule_type': 'DNF', 'real_partition_size': [461, 461], 'n_partitions': 1}, (mean val acc cv) 0.929751 (+- 0.017627), (mean training time) 4.034705 (+- 0.740190)
l: 5,2,CNF,0,460,52,1,[460; 460],122,61.122947,0.980769,9,[X12 >= 5.131000 OR X20 >= 16.795000 OR X27 >= 0.142350] AND [X0 >= 17.880000 OR X7 >= 0.079005 OR X13 >= 53.780000 OR X21 >= 29.295000 OR X27 >= 0.175750 OR X28 >= 0.357100],{'0.0': {'precision': 0.9696969696969697; 'recall': 0.9965397923875432; 'f1-score': 0.9829351535836177; 'support': 289}; '1.0': {'precision': 0.9938650306748467; 'recall': 0.9473684210526315; 'f1-score': 0.970059880239521; 'support': 171}; 'accuracy': 0.9782608695652174; 'macro avg': {'precision': 0.9817810001859082; 'recall': 0.9719541067200874; 'f1-score': 0.9764975169115694; 'support': 460}; 'weighted avg': {'precision': 0.9786811836691804; 'recall': 0.9782608695652174; 'f1-score': 0.9781489106665731; 'support': 460}},{'0.0': {'precision': 0.9696969696969697; 'recall': 1.0; 'f1-score': 0.9846153846153847; 'support': 32}; '1.0': {'precision': 1.0; 'recall': 0.95; 'f1-score': 0.9743589743589743; 'support': 20}; 'accuracy': 0.9807692307692307; 'macro avg': {'precision': 0.9848484848484849; 'recall': 0.975; 'f1-score': 0.9794871794871796; 'support': 52}; 'weighted avg': {'precision': 0.9813519813519813; 'recall': 0.9807692307692307; 'f1-score': 0.9806706114398422; 'support': 52}}
