l: lamda, n_clause, rule_type, id_cv, train_size, val_size, n_partitions, real_partition_size, n_features, training_time, val_accuracy, rule_size, rule, classification_report_train, classification_report_val
l: 5,1,CNF,0,284,32,35,[8; 9],222,1.290106,0.812500,1,[X26 < 0.999945],{'0.0': {'precision': 0.8356164383561644; 'recall': 0.5980392156862745; 'f1-score': 0.6971428571428572; 'support': 102}; '1.0': {'precision': 0.8056872037914692; 'recall': 0.9340659340659341; 'f1-score': 0.8651399491094148; 'support': 182}; 'accuracy': 0.8133802816901409; 'macro avg': {'precision': 0.8206518210738167; 'recall': 0.7660525748761042; 'f1-score': 0.781141403126136; 'support': 284}; 'weighted avg': {'precision': 0.8164364359238598; 'recall': 0.8133802816901409; 'f1-score': 0.8048029653749469; 'support': 284}},{'0.0': {'precision': 0.8571428571428571; 'recall': 0.5454545454545454; 'f1-score': 0.6666666666666665; 'support': 11}; '1.0': {'precision': 0.8; 'recall': 0.9523809523809523; 'f1-score': 0.8695652173913043; 'support': 21}; 'accuracy': 0.8125; 'macro avg': {'precision': 0.8285714285714285; 'recall': 0.7489177489177489; 'f1-score': 0.7681159420289854; 'support': 32}; 'weighted avg': {'precision': 0.8196428571428571; 'recall': 0.8125; 'f1-score': 0.7998188405797101; 'support': 32}}
l: 5,1,CNF,0,284,32,17,[16; 17],222,0.941491,0.843750,1,[X4 >= 0.041440],{'0.0': {'precision': 1.0; 'recall': 0.5294117647058824; 'f1-score': 0.6923076923076924; 'support': 102}; '1.0': {'precision': 0.7913043478260869; 'recall': 1.0; 'f1-score': 0.883495145631068; 'support': 182}; 'accuracy': 0.8309859154929577; 'macro avg': {'precision': 0.8956521739130434; 'recall': 0.7647058823529411; 'f1-score': 0.7879014189693803; 'support': 284}; 'weighted avg': {'precision': 0.8662584200857317; 'recall': 0.8309859154929577; 'f1-score': 0.8148292292966162; 'support': 284}},{'0.0': {'precision': 1.0; 'recall': 0.5454545454545454; 'f1-score': 0.7058823529411764; 'support': 11}; '1.0': {'precision': 0.8076923076923077; 'recall': 1.0; 'f1-score': 0.8936170212765957; 'support': 21}; 'accuracy': 0.84375; 'macro avg': {'precision': 0.9038461538461539; 'recall': 0.7727272727272727; 'f1-score': 0.799749687108886; 'support': 32}; 'weighted avg': {'precision': 0.873798076923077; 'recall': 0.84375; 'f1-score': 0.8290832290362953; 'support': 32}}
l: 5,1,CNF,1,284,32,17,[16; 17],222,0.993765,0.781250,2,[X7 >= 0.000985 OR X26 < 0.999945],{'0.0': {'precision': 0.9166666666666666; 'recall': 0.43137254901960786; 'f1-score': 0.5866666666666666; 'support': 102}; '1.0': {'precision': 0.7542372881355932; 'recall': 0.978021978021978; 'f1-score': 0.8516746411483254; 'support': 182}; 'accuracy': 0.7816901408450704; 'macro avg': {'precision': 0.83545197740113; 'recall': 0.7046972635207929; 'f1-score': 0.719170653907496; 'support': 284}; 'weighted avg': {'precision': 0.8125746001432322; 'recall': 0.7816901408450704; 'f1-score': 0.7564957207358987; 'support': 284}},{'0.0': {'precision': 0.8333333333333334; 'recall': 0.45454545454545453; 'f1-score': 0.5882352941176471; 'support': 11}; '1.0': {'precision': 0.7692307692307693; 'recall': 0.9523809523809523; 'f1-score': 0.8510638297872339; 'support': 21}; 'accuracy': 0.78125; 'macro avg': {'precision': 0.8012820512820513; 'recall': 0.7034632034632035; 'f1-score': 0.7196495619524406; 'support': 32}; 'weighted avg': {'precision': 0.7912660256410257; 'recall': 0.78125; 'f1-score': 0.7607165206508135; 'support': 32}}
l: 5,1,CNF,2,284,32,17,[16; 17],222,0.856589,0.750000,2,[X16 < -0.054150 OR X30 >= 0.132415],{'0.0': {'precision': 0.7647058823529411; 'recall': 0.5098039215686274; 'f1-score': 0.6117647058823529; 'support': 102}; '1.0': {'precision': 0.7685185185185185; 'recall': 0.9120879120879121; 'f1-score': 0.8341708542713567; 'support': 182}; 'accuracy': 0.7676056338028169; 'macro avg': {'precision': 0.7666122004357299; 'recall': 0.7109459168282697; 'f1-score': 0.7229677800768548; 'support': 284}; 'weighted avg': {'precision': 0.7671491914449661; 'recall': 0.7676056338028169; 'f1-score': 0.754292589709109; 'support': 284}},{'0.0': {'precision': 0.6666666666666666; 'recall': 0.5454545454545454; 'f1-score': 0.6; 'support': 11}; '1.0': {'precision': 0.782608695652174; 'recall': 0.8571428571428571; 'f1-score': 0.8181818181818182; 'support': 21}; 'accuracy': 0.75; 'macro avg': {'precision': 0.7246376811594203; 'recall': 0.7012987012987013; 'f1-score': 0.7090909090909091; 'support': 32}; 'weighted avg': {'precision': 0.7427536231884058; 'recall': 0.75; 'f1-score': 0.7431818181818182; 'support': 32}}
l: 5,1,CNF,3,284,32,17,[16; 17],222,0.862573,0.812500,1,[X2 >= 0.190280],{'0.0': {'precision': 1.0; 'recall': 0.4752475247524752; 'f1-score': 0.6442953020134228; 'support': 101}; '1.0': {'precision': 0.7754237288135594; 'recall': 1.0; 'f1-score': 0.8735083532219571; 'support': 183}; 'accuracy': 0.8133802816901409; 'macro avg': {'precision': 0.8877118644067796; 'recall': 0.7376237623762376; 'f1-score': 0.75890182761769; 'support': 284}; 'weighted avg': {'precision': 0.855290642158033; 'recall': 0.8133802816901409; 'f1-score': 0.7919924441654008; 'support': 284}},{'0.0': {'precision': 1.0; 'recall': 0.5; 'f1-score': 0.6666666666666666; 'support': 12}; '1.0': {'precision': 0.7692307692307693; 'recall': 1.0; 'f1-score': 0.8695652173913044; 'support': 20}; 'accuracy': 0.8125; 'macro avg': {'precision': 0.8846153846153846; 'recall': 0.75; 'f1-score': 0.7681159420289856; 'support': 32}; 'weighted avg': {'precision': 0.8557692307692308; 'recall': 0.8125; 'f1-score': 0.7934782608695653; 'support': 32}}
l: 5,1,CNF,4,284,32,17,[16; 17],222,0.977043,0.875000,1,[X6 >= 0.029375],{'0.0': {'precision': 0.9433962264150944; 'recall': 0.49504950495049505; 'f1-score': 0.6493506493506493; 'support': 101}; '1.0': {'precision': 0.7792207792207793; 'recall': 0.9836065573770492; 'f1-score': 0.8695652173913043; 'support': 183}; 'accuracy': 0.8098591549295775; 'macro avg': {'precision': 0.8613085028179368; 'recall': 0.7393280311637721; 'f1-score': 0.7594579333709768; 'support': 284}; 'weighted avg': {'precision': 0.8376071178356589; 'recall': 0.8098591549295775; 'f1-score': 0.7912494731233249; 'support': 284}},{'0.0': {'precision': 1.0; 'recall': 0.6666666666666666; 'f1-score': 0.8; 'support': 12}; '1.0': {'precision': 0.8333333333333334; 'recall': 1.0; 'f1-score': 0.9090909090909091; 'support': 20}; 'accuracy': 0.875; 'macro avg': {'precision': 0.9166666666666667; 'recall': 0.8333333333333333; 'f1-score': 0.8545454545454545; 'support': 32}; 'weighted avg': {'precision': 0.8958333333333334; 'recall': 0.875; 'f1-score': 0.8681818181818182; 'support': 32}}
l: 5,1,CNF,5,284,32,17,[16; 17],222,0.778628,0.812500,1,[X26 < 0.999945],{'0.0': {'precision': 0.8333333333333334; 'recall': 0.594059405940594; 'f1-score': 0.6936416184971098; 'support': 101}; '1.0': {'precision': 0.8066037735849056; 'recall': 0.9344262295081968; 'f1-score': 0.8658227848101264; 'support': 183}; 'accuracy': 0.8133802816901409; 'macro avg': {'precision': 0.8199685534591195; 'recall': 0.7642428177243954; 'f1-score': 0.7797322016536181; 'support': 284}; 'weighted avg': {'precision': 0.8161097085658606; 'recall': 0.8133802816901409; 'f1-score': 0.8045893418607789; 'support': 284}},{'0.0': {'precision': 0.875; 'recall': 0.5833333333333334; 'f1-score': 0.7000000000000001; 'support': 12}; '1.0': {'precision': 0.7916666666666666; 'recall': 0.95; 'f1-score': 0.8636363636363635; 'support': 20}; 'accuracy': 0.8125; 'macro avg': {'precision': 0.8333333333333333; 'recall': 0.7666666666666666; 'f1-score': 0.7818181818181817; 'support': 32}; 'weighted avg': {'precision': 0.8229166666666666; 'recall': 0.8125; 'f1-score': 0.8022727272727272; 'support': 32}}
l: 5,1,CNF,6,285,31,17,[16; 17],222,0.765948,0.677419,2,[X3 >= -0.609635 OR X8 < -0.036395],{'0.0': {'precision': 0.9629629629629629; 'recall': 0.2549019607843137; 'f1-score': 0.40310077519379844; 'support': 102}; '1.0': {'precision': 0.7054263565891473; 'recall': 0.994535519125683; 'f1-score': 0.8253968253968254; 'support': 183}; 'accuracy': 0.7298245614035088; 'macro avg': {'precision': 0.8341946597760551; 'recall': 0.6247187399549984; 'f1-score': 0.6142488002953119; 'support': 285}; 'weighted avg': {'precision': 0.7975973525545128; 'recall': 0.7298245614035088; 'f1-score': 0.6742592916399526; 'support': 285}},{'0.0': {'precision': 1.0; 'recall': 0.09090909090909091; 'f1-score': 0.16666666666666669; 'support': 11}; '1.0': {'precision': 0.6666666666666666; 'recall': 1.0; 'f1-score': 0.8; 'support': 20}; 'accuracy': 0.6774193548387096; 'macro avg': {'precision': 0.8333333333333333; 'recall': 0.5454545454545454; 'f1-score': 0.4833333333333334; 'support': 31}; 'weighted avg': {'precision': 0.7849462365591398; 'recall': 0.6774193548387096; 'f1-score': 0.575268817204301; 'support': 31}}
l: 5,1,CNF,7,285,31,17,[16; 17],222,1.082893,0.612903,1,[X32 >= 0.000200],{'0.0': {'precision': 0.6853932584269663; 'recall': 0.5980392156862745; 'f1-score': 0.6387434554973822; 'support': 102}; '1.0': {'precision': 0.7908163265306123; 'recall': 0.8469945355191257; 'f1-score': 0.8179419525065964; 'support': 183}; 'accuracy': 0.7578947368421053; 'macro avg': {'precision': 0.7381047924787894; 'recall': 0.7225168756027001; 'f1-score': 0.7283427040019893; 'support': 285}; 'weighted avg': {'precision': 0.7530859653145706; 'recall': 0.7578947368421053; 'f1-score': 0.753807753576983; 'support': 285}},{'0.0': {'precision': 0.4666666666666667; 'recall': 0.6363636363636364; 'f1-score': 0.5384615384615385; 'support': 11}; '1.0': {'precision': 0.75; 'recall': 0.6; 'f1-score': 0.6666666666666665; 'support': 20}; 'accuracy': 0.6129032258064516; 'macro avg': {'precision': 0.6083333333333334; 'recall': 0.6181818181818182; 'f1-score': 0.6025641025641025; 'support': 31}; 'weighted avg': {'precision': 0.6494623655913978; 'recall': 0.6129032258064516; 'f1-score': 0.6211745244003308; 'support': 31}}
l: 5,1,CNF,8,285,31,17,[16; 17],222,0.789974,0.774194,1,[X0],{'0.0': {'precision': 1.0; 'recall': 0.28431372549019607; 'f1-score': 0.44274809160305345; 'support': 102}; '1.0': {'precision': 0.71484375; 'recall': 1.0; 'f1-score': 0.8337129840546698; 'support': 183}; 'accuracy': 0.743859649122807; 'macro avg': {'precision': 0.857421875; 'recall': 0.642156862745098; 'f1-score': 0.6382305378288616; 'support': 285}; 'weighted avg': {'precision': 0.8168996710526316; 'recall': 0.743859649122807; 'f1-score': 0.6937887067561965; 'support': 285}},{'0.0': {'precision': 1.0; 'recall': 0.36363636363636365; 'f1-score': 0.5333333333333333; 'support': 11}; '1.0': {'precision': 0.7407407407407407; 'recall': 1.0; 'f1-score': 0.851063829787234; 'support': 20}; 'accuracy': 0.7741935483870968; 'macro avg': {'precision': 0.8703703703703703; 'recall': 0.6818181818181819; 'f1-score': 0.6921985815602837; 'support': 31}; 'weighted avg': {'precision': 0.8327359617682197; 'recall': 0.7741935483870968; 'f1-score': 0.738320750400366; 'support': 31}}
l: 5,1,CNF,9,285,31,17,[16; 17],222,0.797112,0.612903,3,[X14 >= 0.999140 OR X18 >= 0.467840 OR X33 < -0.000030],{'0.0': {'precision': 0.5466666666666666; 'recall': 0.4019607843137255; 'f1-score': 0.4632768361581921; 'support': 102}; '1.0': {'precision': 0.7095238095238096; 'recall': 0.8142076502732241; 'f1-score': 0.7582697201017813; 'support': 183}; 'accuracy': 0.6666666666666666; 'macro avg': {'precision': 0.628095238095238; 'recall': 0.6080842172934748; 'f1-score': 0.6107732781299867; 'support': 285}; 'weighted avg': {'precision': 0.6512380952380953; 'recall': 0.6666666666666666; 'f1-score': 0.6526933195324968; 'support': 285}},{'0.0': {'precision': 0.4; 'recall': 0.18181818181818182; 'f1-score': 0.25000000000000006; 'support': 11}; '1.0': {'precision': 0.6538461538461539; 'recall': 0.85; 'f1-score': 0.7391304347826088; 'support': 20}; 'accuracy': 0.6129032258064516; 'macro avg': {'precision': 0.5269230769230769; 'recall': 0.5159090909090909; 'f1-score': 0.49456521739130443; 'support': 31}; 'weighted avg': {'precision': 0.563771712158809; 'recall': 0.6129032258064516; 'f1-score': 0.5655680224403927; 'support': 31}}
r: ---> Params: {'lamda': 5, 'n_clause': 1, 'rule_type': 'CNF', 'real_partition_size': [16, 17], 'n_partitions': 17}, (mean val acc cv) 0.755242 (+- 0.087391), (mean training time) 0.884602 (+- 0.103056)
l: 5,1,CNF,0,284,32,8,[35; 36],222,0.464035,0.812500,2,[X12 < -0.076515 OR X20 >= 0.072060],{'0.0': {'precision': 0.7313432835820896; 'recall': 0.4803921568627451; 'f1-score': 0.5798816568047338; 'support': 102}; '1.0': {'precision': 0.7557603686635944; 'recall': 0.9010989010989011; 'f1-score': 0.8220551378446115; 'support': 182}; 'accuracy': 0.75; 'macro avg': {'precision': 0.743551826122842; 'recall': 0.6907455289808231; 'f1-score': 0.7009683973246726; 'support': 284}; 'weighted avg': {'precision': 0.7469908521906596; 'recall': 0.75; 'f1-score': 0.7350773383162047; 'support': 284}},{'0.0': {'precision': 1.0; 'recall': 0.45454545454545453; 'f1-score': 0.625; 'support': 11}; '1.0': {'precision': 0.7777777777777778; 'recall': 1.0; 'f1-score': 0.8750000000000001; 'support': 21}; 'accuracy': 0.8125; 'macro avg': {'precision': 0.8888888888888888; 'recall': 0.7272727272727273; 'f1-score': 0.75; 'support': 32}; 'weighted avg': {'precision': 0.8541666666666666; 'recall': 0.8125; 'f1-score': 0.7890625000000001; 'support': 32}}
l: 5,1,CNF,1,284,32,8,[35; 36],222,0.557482,0.781250,2,[X8 >= 0.055610 OR X14 < -0.028300],{'0.0': {'precision': 1.0; 'recall': 0.3431372549019608; 'f1-score': 0.510948905109489; 'support': 102}; '1.0': {'precision': 0.7309236947791165; 'recall': 1.0; 'f1-score': 0.8445475638051044; 'support': 182}; 'accuracy': 0.7640845070422535; 'macro avg': {'precision': 0.8654618473895582; 'recall': 0.6715686274509804; 'f1-score': 0.6777482344572967; 'support': 284}; 'weighted avg': {'precision': 0.8275637762316873; 'recall': 0.7640845070422535; 'f1-score': 0.724733961034144; 'support': 284}},{'0.0': {'precision': 1.0; 'recall': 0.36363636363636365; 'f1-score': 0.5333333333333333; 'support': 11}; '1.0': {'precision': 0.75; 'recall': 1.0; 'f1-score': 0.8571428571428571; 'support': 21}; 'accuracy': 0.78125; 'macro avg': {'precision': 0.875; 'recall': 0.6818181818181819; 'f1-score': 0.6952380952380952; 'support': 32}; 'weighted avg': {'precision': 0.8359375; 'recall': 0.78125; 'f1-score': 0.7458333333333333; 'support': 32}}
l: 5,1,CNF,2,284,32,8,[35; 36],222,0.678557,0.718750,2,[X16 < -0.054150 OR X26 < 0.999945],{'0.0': {'precision': 0.8571428571428571; 'recall': 0.5294117647058824; 'f1-score': 0.6545454545454545; 'support': 102}; '1.0': {'precision': 0.7828054298642534; 'recall': 0.9505494505494505; 'f1-score': 0.858560794044665; 'support': 182}; 'accuracy': 0.7992957746478874; 'macro avg': {'precision': 0.8199741435035552; 'recall': 0.7399806076276665; 'f1-score': 0.7565531242950598; 'support': 284}; 'weighted avg': {'precision': 0.8095040833234702; 'recall': 0.7992957746478874; 'f1-score': 0.7852876791541035; 'support': 284}},{'0.0': {'precision': 0.6666666666666666; 'recall': 0.36363636363636365; 'f1-score': 0.4705882352941177; 'support': 11}; '1.0': {'precision': 0.7307692307692307; 'recall': 0.9047619047619048; 'f1-score': 0.8085106382978723; 'support': 21}; 'accuracy': 0.71875; 'macro avg': {'precision': 0.6987179487179487; 'recall': 0.6341991341991342; 'f1-score': 0.639549436795995; 'support': 32}; 'weighted avg': {'precision': 0.7087339743589743; 'recall': 0.71875; 'f1-score': 0.6923498122653317; 'support': 32}}
