l: lamda, n_clause, rule_type, id_cv, train_size, val_size, n_partitions, real_partition_size, n_features, training_time, val_accuracy, rule_size, rule, classification_report_train, classification_report_val
l: 5,1,CNF,0,26374,2931,3296,[8; 9],296,98.693101,0.726714,1,[X3 == 9],{'0': {'precision': 0.7940069812774831; 'recall': 0.8747440443489987; 'f1-score': 0.8324224133833944; 'support': 20023}; '1': {'precision': 0.41877172653534184; 'recall': 0.28452212250039366; 'f1-score': 0.3388336771048191; 'support': 6351}; 'accuracy': 0.7326154546143929; 'macro avg': {'precision': 0.6063893539064125; 'recall': 0.5796330834246961; 'f1-score': 0.5856280452441067; 'support': 26374}; 'weighted avg': {'precision': 0.703648328708008; 'recall': 0.7326154546143929; 'f1-score': 0.7135636106191102; 'support': 26374}},{'0': {'precision': 0.7937293729372937; 'recall': 0.8647191011235955; 'f1-score': 0.8277048827704884; 'support': 2225}; '1': {'precision': 0.40631163708086787; 'recall': 0.29178470254957506; 'f1-score': 0.3396537510305029; 'support': 706}; 'accuracy': 0.7267144319344934; 'macro avg': {'precision': 0.6000205050090808; 'recall': 0.5782519018365853; 'f1-score': 0.5836793169004957; 'support': 2931}; 'weighted avg': {'precision': 0.7004107371424672; 'recall': 0.7267144319344934; 'f1-score': 0.7101463365376567; 'support': 2931}}
l: 5,1,CNF,0,26374,2931,1648,[16; 17],296,56.724416,0.707267,7,[X3 == 10 OR X5 == 1 OR X6 == 4 OR X6 == 7 OR X11 >= 1568.500000 OR X13 == 2 OR X13 == 30],{'0': {'precision': 0.8058902275769746; 'recall': 0.8117664685611546; 'f1-score': 0.8088176751592357; 'support': 20023}; '1': {'precision': 0.3925866236905721; 'recall': 0.3835616438356164; 'f1-score': 0.3880216629499841; 'support': 6351}; 'accuracy': 0.708652460756806; 'macro avg': {'precision': 0.5992384256337734; 'recall': 0.5976640561983855; 'f1-score': 0.59841966905461; 'support': 26374}; 'weighted avg': {'precision': 0.7063645133022137; 'recall': 0.708652460756806; 'f1-score': 0.707487748961429; 'support': 26374}},{'0': {'precision': 0.8022998673153472; 'recall': 0.8152808988764045; 'f1-score': 0.808738296923763; 'support': 2225}; '1': {'precision': 0.38656716417910447; 'recall': 0.3668555240793201; 'f1-score': 0.376453488372093; 'support': 706}; 'accuracy': 0.7072671443193449; 'macro avg': {'precision': 0.5944335157472258; 'recall': 0.5910682114778623; 'f1-score': 0.592595892647928; 'support': 2931}; 'weighted avg': {'precision': 0.7021609084568731; 'recall': 0.7072671443193449; 'f1-score': 0.7046123757919038; 'support': 2931}}
l: 5,1,CNF,1,26374,2931,1648,[16; 17],296,55.945922,0.722961,4,[X1 == 7 OR X3 == 9 OR X3 == 10 OR X13 == 2],{'0': {'precision': 0.8028074546064293; 'recall': 0.8368875792838236; 'f1-score': 0.8194933489827857; 'support': 20023}; '1': {'precision': 0.4062897654971823; 'recall': 0.3519130845536136; 'f1-score': 0.37715153560580494; 'support': 6351}; 'accuracy': 0.7201031318722985; 'macro avg': {'precision': 0.6045486100518058; 'recall': 0.5944003319187185; 'f1-score': 0.5983224422942953; 'support': 26374}; 'weighted avg': {'precision': 0.7073238782231418; 'recall': 0.7201031318722985; 'f1-score': 0.7129750788395688; 'support': 26374}},{'0': {'precision': 0.8041325871717606; 'recall': 0.8395505617977528; 'f1-score': 0.8214599824098505; 'support': 2225}; '1': {'precision': 0.4128289473684211; 'recall': 0.3555240793201133; 'f1-score': 0.3820395738203958; 'support': 706}; 'accuracy': 0.7229614466052542; 'macro avg': {'precision': 0.6084807672700908; 'recall': 0.597537320558933; 'f1-score': 0.6017497781151231; 'support': 2931}; 'weighted avg': {'precision': 0.7098779403955213; 'recall': 0.7229614466052542; 'f1-score': 0.7156152848785796; 'support': 2931}}
l: 5,1,CNF,2,26374,2931,1648,[16; 17],296,59.029044,0.640737,4,[X1 == 1 OR X3 == 12 OR X10 >= 5119.000000 OR X12 < 34.500000],{'0': {'precision': 0.7845665961945032; 'recall': 0.7413474504320032; 'f1-score': 0.762344965719128; 'support': 20023}; '1': {'precision': 0.3052052589213845; 'recall': 0.358211305306251; 'f1-score': 0.32959072799710254; 'support': 6351}; 'accuracy': 0.6490862212785319; 'macro avg': {'precision': 0.5448859275579438; 'recall': 0.5497793778691271; 'f1-score': 0.5459678468581153; 'support': 26374}; 'weighted avg': {'precision': 0.6691338270649978; 'recall': 0.6490862212785319; 'f1-score': 0.6581354349777697; 'support': 26374}},{'0': {'precision': 0.7803827751196172; 'recall': 0.7330337078651685; 'f1-score': 0.7559675550405561; 'support': 2225}; '1': {'precision': 0.29369797859690844; 'recall': 0.34985835694050993; 'f1-score': 0.319327731092437; 'support': 706}; 'accuracy': 0.6407369498464688; 'macro avg': {'precision': 0.5370403768582628; 'recall': 0.5414460324028392; 'f1-score': 0.5376476430664966; 'support': 2931}; 'weighted avg': {'precision': 0.6631533427262251; 'recall': 0.6407369498464688; 'f1-score': 0.6507926264471162; 'support': 2931}}
l: 5,1,CNF,3,26374,2931,1648,[16; 17],296,57.291190,0.716820,7,[X1 == 5 OR X3 == 3 OR X3 == 6 OR X3 == 12 OR X6 == 4 OR X6 == 14 OR X13 == 5],{'0': {'precision': 0.8099944250164716; 'recall': 0.7981820905958148; 'f1-score': 0.804044875987322; 'support': 20023}; '1': {'precision': 0.39169050127954236; 'recall': 0.4096992599590616; 'f1-score': 0.4004925350161613; 'support': 6351}; 'accuracy': 0.7046333510275271; 'macro avg': {'precision': 0.6008424631480069; 'recall': 0.6039406752774382; 'f1-score': 0.6022687055017416; 'support': 26374}; 'weighted avg': {'precision': 0.7092646070270412; 'recall': 0.7046333510275271; 'f1-score': 0.7068673178805561; 'support': 26374}},{'0': {'precision': 0.8183477863989046; 'recall': 0.8058426966292135; 'f1-score': 0.8120471014492754; 'support': 2225}; '1': {'precision': 0.41621621621621624; 'recall': 0.43626062322946174; 'f1-score': 0.4260027662517289; 'support': 706}; 'accuracy': 0.716820197884681; 'macro avg': {'precision': 0.6172820013075604; 'recall': 0.6210516599293376; 'f1-score': 0.6190249338505022; 'support': 2931}; 'weighted avg': {'precision': 0.7214849789785778; 'recall': 0.716820197884681; 'f1-score': 0.7190592813709855; 'support': 2931}}
l: 5,1,CNF,4,26374,2931,1648,[16; 17],296,57.706059,0.756056,5,[X1 == 5 OR X3 == 9 OR X3 == 14 OR X10 >= 7073.500000 OR X13 == 7],{'0': {'precision': 0.8387589263728146; 'recall': 0.8505718423812616; 'f1-score': 0.8446240825233089; 'support': 20023}; '1': {'precision': 0.5070028011204482; 'recall': 0.48449063139663046; 'f1-score': 0.4954911433172303; 'support': 6351}; 'accuracy': 0.7624175324182907; 'macro avg': {'precision': 0.6728808637466314; 'recall': 0.667531236888946; 'f1-score': 0.6700576129202696; 'support': 26374}; 'weighted avg': {'precision': 0.7588702803017681; 'recall': 0.7624175324182907; 'f1-score': 0.7605510068845054; 'support': 26374}},{'0': {'precision': 0.832014072119613; 'recall': 0.8503370786516854; 'f1-score': 0.8410757946210269; 'support': 2225}; '1': {'precision': 0.4931506849315068; 'recall': 0.45892351274787535; 'f1-score': 0.47542186353631694; 'support': 706}; 'accuracy': 0.7560559535994541; 'macro avg': {'precision': 0.6625823785255599; 'recall': 0.6546302956997804; 'f1-score': 0.6582488290786719; 'support': 2931}; 'weighted avg': {'precision': 0.7503908884434605; 'recall': 0.7560559535994541; 'f1-score': 0.7529994809581797; 'support': 2931}}
l: 5,1,CNF,5,26375,2930,1648,[16; 17],296,54.775689,0.703754,7,[X1 == 1 OR X3 == 10 OR X6 == 3 OR X6 == 13 OR X7 == 5 OR X8 == 0 OR X10 >= 4243.500000],{'0': {'precision': 0.8199416600371254; 'recall': 0.772112071118214; 'f1-score': 0.795308400637893; 'support': 20023}; '1': {'precision': 0.39321808510638295; 'recall': 0.46552267002518893; 'f1-score': 0.4263264129181084; 'support': 6352}; 'accuracy': 0.6982748815165877; 'macro avg': {'precision': 0.6065798725717542; 'recall': 0.6188173705717015; 'f1-score': 0.6108174067780007; 'support': 26375}; 'weighted avg': {'precision': 0.7171720620102031; 'recall': 0.6982748815165877; 'f1-score': 0.7064449471404116; 'support': 26375}},{'0': {'precision': 0.8175011698642958; 'recall': 0.7851685393258427; 'f1-score': 0.8010087116001835; 'support': 2225}; '1': {'precision': 0.39722572509457754; 'recall': 0.44680851063829785; 'f1-score': 0.4205607476635514; 'support': 705}; 'accuracy': 0.7037542662116041; 'macro avg': {'precision': 0.6073634474794367; 'recall': 0.6159885249820702; 'f1-score': 0.6107847296318675; 'support': 2930}; 'weighted avg': {'precision': 0.7163768734265308; 'recall': 0.7037542662116041; 'f1-score': 0.7094674779567276; 'support': 2930}}
l: 5,1,CNF,6,26375,2930,1648,[16; 17],296,55.495033,0.774744,5,[X3 == 5 OR X10 >= 3048.000000 OR X13 == 1 OR X13 == 14 OR X13 == 30],{'0': {'precision': 0.7939447383891828; 'recall': 0.9442640962892673; 'f1-score': 0.8626046490407646; 'support': 20023}; '1': {'precision': 0.5642327215931277; 'recall': 0.22748740554156172; 'f1-score': 0.32424548412431276; 'support': 6352}; 'accuracy': 0.7716398104265403; 'macro avg': {'precision': 0.6790887299911552; 'recall': 0.5858757509154146; 'f1-score': 0.5934250665825387; 'support': 26375}; 'weighted avg': {'precision': 0.7386222462303754; 'recall': 0.7716398104265403; 'f1-score': 0.7329493915791797; 'support': 26375}},{'0': {'precision': 0.7931809666541776; 'recall': 0.9514606741573034; 'f1-score': 0.865140988966081; 'support': 2225}; '1': {'precision': 0.5862068965517241; 'recall': 0.2170212765957447; 'f1-score': 0.31677018633540377; 'support': 705}; 'accuracy': 0.7747440273037542; 'macro avg': {'precision': 0.6896939316029509; 'recall': 0.5842409753765241; 'f1-score': 0.5909555876507424; 'support': 2930}; 'weighted avg': {'precision': 0.7433800385237238; 'recall': 0.7747440273037542; 'f1-score': 0.7331951132477782; 'support': 2930}}
l: 5,1,CNF,7,26375,2930,1648,[16; 17],296,56.782662,0.744027,9,[X1 == 5 OR X3 == 7 OR X3 == 10 OR X3 == 14 OR X7 == 5 OR X8 == 1 OR X10 >= 57.000000 OR X13 == 31 OR X13 == 34],{'0': {'precision': 0.8263229971632593; 'recall': 0.8437796533985916; 'f1-score': 0.8349600929106229; 'support': 20023}; '1': {'precision': 0.472423680215888; 'recall': 0.440963476070529; 'f1-score': 0.4561517791710773; 'support': 6352}; 'accuracy': 0.7467677725118483; 'macro avg': {'precision': 0.6493733386895737; 'recall': 0.6423715647345603; 'f1-score': 0.64555593604085; 'support': 26375}; 'weighted avg': {'precision': 0.7410919654571095; 'recall': 0.7467677725118483; 'f1-score': 0.7437301248016716; 'support': 26375}},{'0': {'precision': 0.8244610646722393; 'recall': 0.8422471910112359; 'f1-score': 0.8332592263228101; 'support': 2225}; '1': {'precision': 0.4657534246575342; 'recall': 0.4340425531914894; 'f1-score': 0.4493392070484581; 'support': 705}; 'accuracy': 0.7440273037542662; 'macro avg': {'precision': 0.6451072446648868; 'recall': 0.6381448721013626; 'f1-score': 0.6412992166856342; 'support': 2930}; 'weighted avg': {'precision': 0.7381508646004417; 'recall': 0.7440273037542662; 'f1-score': 0.7408825663950223; 'support': 2930}}
l: 5,1,CNF,8,26375,2930,1648,[16; 17],296,58.999998,0.654608,7,[X1 == 2 OR X3 == 7 OR X3 == 10 OR X6 == 6 OR X6 == 12 OR X10 >= 6618.500000 OR X13 == 31],{'0': {'precision': 0.8005741932053804; 'recall': 0.7519976028765482; 'f1-score': 0.7755259701800015; 'support': 20024}; '1': {'precision': 0.3436426116838488; 'recall': 0.4093843489214297; 'f1-score': 0.3736437450599986; 'support': 6351}; 'accuracy': 0.6694976303317536; 'macro avg': {'precision': 0.5721084024446146; 'recall': 0.5806909758989889; 'f1-score': 0.57458485762; 'support': 26375}; 'weighted avg': {'precision': 0.6905468008170108; 'recall': 0.6694976303317536; 'f1-score': 0.678754254095181; 'support': 26375}},{'0': {'precision': 0.7893982808022922; 'recall': 0.7432553956834532; 'f1-score': 0.7656322371468272; 'support': 2224}; '1': {'precision': 0.31698564593301437; 'recall': 0.37535410764872523; 'f1-score': 0.34370946822308696; 'support': 706}; 'accuracy': 0.6546075085324232; 'macro avg': {'precision': 0.5531919633676533; 'recall': 0.5593047516660892; 'f1-score': 0.5546708526849571; 'support': 2930}; 'weighted avg': {'precision': 0.6755677960863502; 'recall': 0.6546075085324232; 'f1-score': 0.663967569959059; 'support': 2930}}
l: 5,1,CNF,9,26375,2930,1648,[16; 17],296,56.120658,0.655973,8,[X1 == 2 OR X1 == 5 OR X4 >= 12.500000 OR X7 == 5 OR X10 >= 7073.500000 OR X11 >= 1568.500000 OR X12 >= 49.500000 OR X13 == 41],{'0': {'precision': 0.9049706568620519; 'recall': 0.6391829804234919; 'f1-score': 0.749202446805397; 'support': 20024}; '1': {'precision': 0.4093361674296926; 'recall': 0.788379782711384; 'f1-score': 0.5388796211591239; 'support': 6351}; 'accuracy': 0.6751090047393364; 'macro avg': {'precision': 0.6571534121458722; 'recall': 0.7137813815674379; 'f1-score': 0.6440410339822604; 'support': 26375}; 'weighted avg': {'precision': 0.7856237509896382; 'recall': 0.6751090047393364; 'f1-score': 0.6985575078222889; 'support': 26375}},{'0': {'precision': 0.903183023872679; 'recall': 0.612410071942446; 'f1-score': 0.7299035369774919; 'support': 2224}; '1': {'precision': 0.39381153305203936; 'recall': 0.7932011331444759; 'f1-score': 0.5263157894736842; 'support': 706}; 'accuracy': 0.6559726962457337; 'macro avg': {'precision': 0.6484972784623592; 'recall': 0.702805602543461; 'f1-score': 0.628109663225588; 'support': 2930}; 'weighted avg': {'precision': 0.7804470946851801; 'recall': 0.6559726962457337; 'f1-score': 0.6808479227325471; 'support': 2930}}
r: ---> Params: {'lamda': 5, 'n_clause': 1, 'rule_type': 'CNF', 'real_partition_size': [16, 17], 'n_partitions': 1648}, (mean val acc cv) 0.707695 (+- 0.042969), (mean training time) 56.887067 (+- 1.333896)
l: 5,1,CNF,0,26374,2931,824,[32; 33],296,37.629472,0.694302,12,[X3 == 10 OR X3 == 14 OR X6 == 1 OR X6 == 11 OR X6 == 13 OR X10 >= 6618.500000 OR X11 >= 2176.500000 OR X13 == 1 OR X13 == 22 OR X13 == 24 OR X13 == 34 OR X13 == 36],{'0': {'precision': 0.8015297506705076; 'recall': 0.8059731308994657; 'f1-score': 0.8037452996986827; 'support': 20023}; '1': {'precision': 0.37740384615384615; 'recall': 0.37080774681152573; 'f1-score': 0.37407672146771503; 'support': 6351}; 'accuracy': 0.7011829832410708; 'macro avg': {'precision': 0.5894667984121769; 'recall': 0.5883904388554957; 'f1-score': 0.5889110105831988; 'support': 26374}; 'weighted avg': {'precision': 0.6993979686281433; 'recall': 0.7011829832410708; 'f1-score': 0.7002788122358452; 'support': 26374}},{'0': {'precision': 0.7991895542548402; 'recall': 0.797752808988764; 'f1-score': 0.7984705353126405; 'support': 2225}; '1': {'precision': 0.36619718309859156; 'recall': 0.36827195467422097; 'f1-score': 0.3672316384180791; 'support': 706}; 'accuracy': 0.694302285909246; 'macro avg': {'precision': 0.5826933686767158; 'recall': 0.5830123818314925; 'f1-score': 0.5828510868653598; 'support': 2931}; 'weighted avg': {'precision': 0.6948932000971085; 'recall': 0.694302285909246; 'f1-score': 0.694596546500781; 'support': 2931}}
