l: lamda, n_clause, rule_type, id_cv, train_size, val_size, n_partitions, real_partition_size, n_features, training_time, val_accuracy, rule_size, rule, classification_report_train, classification_report_val
l: 5,1,CNF,0,26374,2931,3296,[8; 9],296,601.374477,0.712385,3,[X1 == 1 OR X3 == 10 OR X6 == 7],{'0': {'precision': 0.7630243572395129; 'recall': 0.9011636617889427; 'f1-score': 0.8263607428270479; 'support': 20023}; '1': {'precision': 0.2740278796771827; 'recall': 0.11761927255550307; 'f1-score': 0.16459182549300427; 'support': 6351}; 'accuracy': 0.7124819898384773; 'macro avg': {'precision': 0.5185261184583478; 'recall': 0.5093914671722228; 'f1-score': 0.4954762841600261; 'support': 26374}; 'weighted avg': {'precision': 0.6452713948902917; 'recall': 0.7124819898384773; 'f1-score': 0.6670032546193998; 'support': 26374}},{'0': {'precision': 0.7639419404125286; 'recall': 0.898876404494382; 'f1-score': 0.8259343382201114; 'support': 2225}; '1': {'precision': 0.28115015974440893; 'recall': 0.12464589235127478; 'f1-score': 0.17271835132482827; 'support': 706}; 'accuracy': 0.7123848515864892; 'macro avg': {'precision': 0.5225460500784688; 'recall': 0.5117611484228284; 'f1-score': 0.49932634477246984; 'support': 2931}; 'weighted avg': {'precision': 0.6476502320700882; 'recall': 0.7123848515864892; 'f1-score': 0.6685919681252395; 'support': 2931}}
l: 5,1,CNF,0,26374,2931,1648,[16; 17],296,52.584569,0.777892,7,[X1 == 1 OR X1 == 5 OR X3 == 2 OR X3 == 10 OR X7 == 5 OR X10 >= 4932.500000 OR X11 >= 1820.500000],{'0': {'precision': 0.8392166116092497; 'recall': 0.8881286520501424; 'f1-score': 0.8629801276296314; 'support': 20023}; '1': {'precision': 0.5679012345679012; 'recall': 0.4635490473941112; 'f1-score': 0.5104464672735154; 'support': 6351}; 'accuracy': 0.7858876165920983; 'macro avg': {'precision': 0.7035589230885755; 'recall': 0.6758388497221268; 'f1-score': 0.6867132974515734; 'support': 26374}; 'weighted avg': {'precision': 0.773882420375853; 'recall': 0.7858876165920983; 'f1-score': 0.7780881401828392; 'support': 26374}},{'0': {'precision': 0.8281901584653878; 'recall': 0.8925842696629214; 'f1-score': 0.8591823491239454; 'support': 2225}; '1': {'precision': 0.551594746716698; 'recall': 0.4164305949008499; 'f1-score': 0.4745762711864407; 'support': 706}; 'accuracy': 0.7778915046059366; 'macro avg': {'precision': 0.6898924525910428; 'recall': 0.6545074322818856; 'f1-score': 0.6668793101551931; 'support': 2931}; 'weighted avg': {'precision': 0.7615656751168463; 'recall': 0.7778915046059366; 'f1-score': 0.7665409669936559; 'support': 2931}}
l: 5,1,CNF,1,26374,2931,1648,[16; 17],296,54.483914,0.766291,10,[X3 == 2 OR X3 == 7 OR X4 >= 14.500000 OR X6 == 11 OR X8 == 3 OR X10 >= 4668.500000 OR X13 == 5 OR X13 == 21 OR X13 == 23 OR X13 == 24],{'0': {'precision': 0.8078006888222928; 'recall': 0.9019627428457274; 'f1-score': 0.8522888154789996; 'support': 20023}; '1': {'precision': 0.511326860841424; 'recall': 0.32341363564792946; 'f1-score': 0.3962191358024691; 'support': 6351}; 'accuracy': 0.7626450291954198; 'macro avg': {'precision': 0.6595637748318584; 'recall': 0.6126881892468284; 'f1-score': 0.6242539756407344; 'support': 26374}; 'weighted avg': {'precision': 0.736408208291979; 'recall': 0.7626450291954198; 'f1-score': 0.7424648018433871; 'support': 26374}},{'0': {'precision': 0.8092369477911646; 'recall': 0.9056179775280899; 'f1-score': 0.8547189819724286; 'support': 2225}; '1': {'precision': 0.5238095238095238; 'recall': 0.3271954674220963; 'f1-score': 0.40278988666085436; 'support': 706}; 'accuracy': 0.7662913681337428; 'macro avg': {'precision': 0.6665232358003442; 'recall': 0.6164067224750931; 'f1-score': 0.6287544343166415; 'support': 2931}; 'weighted avg': {'precision': 0.7404850674325707; 'recall': 0.7662913681337428; 'f1-score': 0.7458612742651711; 'support': 2931}}
l: 5,1,CNF,2,26374,2931,1648,[16; 17],296,55.846981,0.675879,6,[X0 >= 54.500000 OR X1 == 1 OR X1 == 7 OR X3 == 10 OR X3 == 14 OR X6 == 13],{'0': {'precision': 0.7883280914582397; 'recall': 0.7886430604804475; 'f1-score': 0.7884855445149048; 'support': 20023}; '1': {'precision': 0.3328078196437017; 'recall': 0.3323886002204377; 'f1-score': 0.33259807783204665; 'support': 6351}; 'accuracy': 0.6787745506938652; 'macro avg': {'precision': 0.5605679555509707; 'recall': 0.5605158303504426; 'f1-score': 0.5605418111734757; 'support': 26374}; 'weighted avg': {'precision': 0.6786363781688588; 'recall': 0.6787745506938652; 'f1-score': 0.6787054087409293; 'support': 26374}},{'0': {'precision': 0.786774628879892; 'recall': 0.7860674157303371; 'f1-score': 0.7864208633093525; 'support': 2225}; '1': {'precision': 0.327683615819209; 'recall': 0.3286118980169972; 'f1-score': 0.32814710042432815; 'support': 706}; 'accuracy': 0.6758785397475264; 'macro avg': {'precision': 0.5572291223495505; 'recall': 0.5573396568736672; 'f1-score': 0.5572839818668403; 'support': 2931}; 'weighted avg': {'precision': 0.676191805536036; 'recall': 0.6758785397475264; 'f1-score': 0.6760348938119703; 'support': 2931}}
l: 5,1,CNF,3,26374,2931,1648,[16; 17],296,58.737405,0.692938,8,[X0 >= 61.500000 OR X3 == 8 OR X3 == 12 OR X4 >= 14.500000 OR X6 == 5 OR X6 == 13 OR X13 == 2 OR X13 == 22],{'0': {'precision': 0.7961361727358071; 'recall': 0.8047245667482396; 'f1-score': 0.80040733197556; 'support': 20023}; '1': {'precision': 0.36267318663406684; 'recall': 0.35033852936545423; 'f1-score': 0.35639916706711516; 'support': 6351}; 'accuracy': 0.6953059831652385; 'macro avg': {'precision': 0.5794046796849369; 'recall': 0.5775315480568469; 'f1-score': 0.5784032495213376; 'support': 26374}; 'weighted avg': {'precision': 0.6917559716008957; 'recall': 0.6953059831652385; 'f1-score': 0.6934877954875971; 'support': 26374}},{'0': {'precision': 0.7914650241970963; 'recall': 0.8085393258426966; 'f1-score': 0.7999110715873721; 'support': 2225}; '1': {'precision': 0.3525835866261398; 'recall': 0.3286118980169972; 'f1-score': 0.3401759530791789; 'support': 706}; 'accuracy': 0.6929375639713409; 'macro avg': {'precision': 0.5720243054116181; 'recall': 0.5685756119298468; 'f1-score': 0.5700435123332754; 'support': 2931}; 'weighted avg': {'precision': 0.6857501504594316; 'recall': 0.6929375639713409; 'f1-score': 0.6891731003602195; 'support': 2931}}
l: 5,1,CNF,4,26374,2931,1648,[16; 17],296,56.093472,0.760832,6,[X3 == 10 OR X4 >= 13.500000 OR X6 == 7 OR X10 >= 3120.000000 OR X13 == 2 OR X13 == 34],{'0': {'precision': 0.817709808364014; 'recall': 0.8652050142336313; 'f1-score': 0.8407872066781528; 'support': 20023}; '1': {'precision': 0.4797609868928296; 'recall': 0.39190678633286097; 'f1-score': 0.43140653436172977; 'support': 6351}; 'accuracy': 0.7512322742094487; 'macro avg': {'precision': 0.6487353976284218; 'recall': 0.6285559002832461; 'f1-score': 0.6360968705199412; 'support': 26374}; 'weighted avg': {'precision': 0.7363299279832036; 'recall': 0.7512322742094487; 'f1-score': 0.7422061552683703; 'support': 26374}},{'0': {'precision': 0.8242553191489361; 'recall': 0.870561797752809; 'f1-score': 0.8467759562841529; 'support': 2225}; '1': {'precision': 0.504302925989673; 'recall': 0.415014164305949; 'f1-score': 0.4553224553224553; 'support': 706}; 'accuracy': 0.7608324803821221; 'macro avg': {'precision': 0.6642791225693045; 'recall': 0.642787981029379; 'f1-score': 0.6510492058033042; 'support': 2931}; 'weighted avg': {'precision': 0.747187291318694; 'recall': 0.7608324803821221; 'f1-score': 0.7524852119378689; 'support': 2931}}
l: 5,1,CNF,5,26375,2930,1648,[16; 17],296,56.571972,0.744710,4,[X1 == 1 OR X3 == 12 OR X6 == 4 OR X10 >= 57.000000],{'0': {'precision': 0.8383701698992633; 'recall': 0.8354392448684014; 'f1-score': 0.8369021412847709; 'support': 20023}; '1': {'precision': 0.48691996262846465; 'recall': 0.4922858942065491; 'f1-score': 0.48958822608423364; 'support': 6352}; 'accuracy': 0.7527962085308056; 'macro avg': {'precision': 0.662645066263864; 'recall': 0.6638625695374752; 'f1-score': 0.6632451836845022; 'support': 26375}; 'weighted avg': {'precision': 0.7537289673747473; 'recall': 0.7527962085308056; 'f1-score': 0.7532570990343894; 'support': 26375}},{'0': {'precision': 0.8358344702137335; 'recall': 0.826067415730337; 'f1-score': 0.8309222423146474; 'support': 2225}; '1': {'precision': 0.47058823529411764; 'recall': 0.4879432624113475; 'f1-score': 0.4791086350974931; 'support': 705}; 'accuracy': 0.7447098976109215; 'macro avg': {'precision': 0.6532113527539256; 'recall': 0.6570053390708422; 'f1-score': 0.6550154387060703; 'support': 2930}; 'weighted avg': {'precision': 0.7479509904805154; 'recall': 0.7447098976109215; 'f1-score': 0.7462708453562535; 'support': 2930}}
l: 5,1,CNF,6,26375,2930,1648,[16; 17],296,55.481248,0.719454,7,[X1 == 1 OR X1 == 7 OR X3 == 7 OR X6 == 4 OR X13 == 9 OR X13 == 34 OR X13 == 41],{'0': {'precision': 0.8009219245174302; 'recall': 0.8330420016980472; 'f1-score': 0.8166662586599427; 'support': 20023}; '1': {'precision': 0.3975491079473779; 'recall': 0.3472921914357683; 'f1-score': 0.37072514914713056; 'support': 6352}; 'accuracy': 0.7160568720379147; 'macro avg': {'precision': 0.599235516232404; 'recall': 0.5901670965669077; 'f1-score': 0.5936957039035367; 'support': 26375}; 'weighted avg': {'precision': 0.7037759859068909; 'recall': 0.7160568720379147; 'f1-score': 0.7092684225414447; 'support': 26375}},{'0': {'precision': 0.8009438009438009; 'recall': 0.8391011235955056; 'f1-score': 0.8195785776997366; 'support': 2225}; '1': {'precision': 0.4023372287145242; 'recall': 0.34184397163120567; 'f1-score': 0.36963190184049083; 'support': 705}; 'accuracy': 0.7194539249146757; 'macro avg': {'precision': 0.6016405148291626; 'recall': 0.5904725476133557; 'f1-score': 0.5946052397701137; 'support': 2930}; 'weighted avg': {'precision': 0.705033345851091; 'recall': 0.7194539249146757; 'f1-score': 0.7113149577404301; 'support': 2930}}
l: 5,1,CNF,7,26375,2930,1648,[16; 17],296,56.204439,0.720137,7,[X3 == 12 OR X6 == 3 OR X6 == 11 OR X7 == 5 OR X10 >= 4668.500000 OR X13 == 11 OR X13 == 34],{'0': {'precision': 0.8255545043624514; 'recall': 0.7844478849323279; 'f1-score': 0.8044764270531896; 'support': 20023}; '1': {'precision': 0.4127092121377058; 'recall': 0.4774874055415617; 'f1-score': 0.4427414057368075; 'support': 6352}; 'accuracy': 0.710521327014218; 'macro avg': {'precision': 0.6191318582500785; 'recall': 0.6309676452369448; 'f1-score': 0.6236089163949985; 'support': 26375}; 'weighted avg': {'precision': 0.7261272703828653; 'recall': 0.710521327014218; 'f1-score': 0.7173582903554963; 'support': 26375}},{'0': {'precision': 0.8369304556354916; 'recall': 0.7842696629213484; 'f1-score': 0.8097447795823667; 'support': 2225}; '1': {'precision': 0.4319526627218935; 'recall': 0.5177304964539007; 'f1-score': 0.47096774193548385; 'support': 705}; 'accuracy': 0.7201365187713311; 'macro avg': {'precision': 0.6344415591786925; 'recall': 0.6510000796876245; 'f1-score': 0.6403562607589253; 'support': 2930}; 'weighted avg': {'precision': 0.739486993518056; 'recall': 0.7201365187713311; 'f1-score': 0.7282301681349085; 'support': 2930}}
l: 5,1,CNF,8,26375,2930,1648,[16; 17],296,56.071514,0.710580,7,[X3 == 8 OR X3 == 9 OR X3 == 10 OR X5 == 1 OR X6 == 13 OR X11 >= 1551.500000 OR X13 == 9],{'0': {'precision': 0.8179274611398963; 'recall': 0.7883539752297243; 'f1-score': 0.8028684772657918; 'support': 20024}; '1': {'precision': 0.4009893992932862; 'recall': 0.44670130688080617; 'f1-score': 0.4226128407567406; 'support': 6351}; 'accuracy': 0.7060853080568721; 'macro avg': {'precision': 0.6094584302165913; 'recall': 0.6175276410552653; 'f1-score': 0.6127406590112662; 'support': 26375}; 'weighted avg': {'precision': 0.71753035665505; 'recall': 0.7060853080568721; 'f1-score': 0.7113043617219441; 'support': 26375}},{'0': {'precision': 0.8214953271028037; 'recall': 0.7904676258992805; 'f1-score': 0.8056828597616865; 'support': 2224}; '1': {'precision': 0.41012658227848103; 'recall': 0.45892351274787535; 'f1-score': 0.4331550802139037; 'support': 706}; 'accuracy': 0.710580204778157; 'macro avg': {'precision': 0.6158109546906424; 'recall': 0.624695569323578; 'f1-score': 0.6194189699877951; 'support': 2930}; 'weighted avg': {'precision': 0.7223737114557145; 'recall': 0.710580204778157; 'f1-score': 0.7159201934269648; 'support': 2930}}
l: 5,1,CNF,9,26375,2930,1648,[16; 17],296,63.099108,0.727986,5,[X1 == 2 OR X3 == 3 OR X3 == 4 OR X5 == 6 OR X10 >= 4243.500000],{'0': {'precision': 0.7932057158263683; 'recall': 0.8815421494206952; 'f1-score': 0.8350442310421496; 'support': 20024}; '1': {'precision': 0.4244115505945159; 'recall': 0.27538970240906946; 'f1-score': 0.3340336134453782; 'support': 6351}; 'accuracy': 0.7355829383886255; 'macro avg': {'precision': 0.6088086332104421; 'recall': 0.5784659259148823; 'f1-score': 0.5845389222437639; 'support': 26375}; 'weighted avg': {'precision': 0.7044014791102549; 'recall': 0.7355829383886255; 'f1-score': 0.7144027738911698; 'support': 26375}},{'0': {'precision': 0.793742280773981; 'recall': 0.8669064748201439; 'f1-score': 0.8287126584998925; 'support': 2224}; '1': {'precision': 0.4091816367265469; 'recall': 0.29036827195467424; 'f1-score': 0.33968516984258496; 'support': 706}; 'accuracy': 0.7279863481228669; 'macro avg': {'precision': 0.601461958750264; 'recall': 0.5786373733874091; 'f1-score': 0.5841989141712387; 'support': 2930}; 'weighted avg': {'precision': 0.7010802279762033; 'recall': 0.7279863481228669; 'f1-score': 0.7108787311988484; 'support': 2930}}
r: ---> Params: {'lamda': 5, 'n_clause': 1, 'rule_type': 'CNF', 'real_partition_size': [16, 17], 'n_partitions': 1648}, (mean val acc cv) 0.729670 (+- 0.031095), (mean training time) 56.517462 (+- 2.642954)
l: 5,1,CNF,0,26374,2931,824,[32; 33],296,39.039716,0.781644,4,[X3 == 10 OR X4 >= 13.500000 OR X6 == 10 OR X10 >= 5119.000000],{'0': {'precision': 0.8339040292696656; 'recall': 0.8878789392198971; 'f1-score': 0.8600454743360264; 'support': 20023}; '1': {'precision': 0.5558852621167161; 'recall': 0.44245000787277594; 'f1-score': 0.49272312817815184; 'support': 6351}; 'accuracy': 0.78061727458861; 'macro avg': {'precision': 0.6948946456931908; 'recall': 0.6651644735463366; 'f1-score': 0.6763843012570891; 'support': 26374}; 'weighted avg': {'precision': 0.766955625910737; 'recall': 0.78061727458861; 'f1-score': 0.7715922923974255; 'support': 26374}},{'0': {'precision': 0.8336842105263158; 'recall': 0.8898876404494382; 'f1-score': 0.8608695652173914; 'support': 2225}; '1': {'precision': 0.5593525179856115; 'recall': 0.4405099150141643; 'f1-score': 0.49286846275752766; 'support': 706}; 'accuracy': 0.7816444899351757; 'macro avg': {'precision': 0.6965183642559636; 'recall': 0.6651987777318012; 'f1-score': 0.6768690139874596; 'support': 2931}; 'weighted avg': {'precision': 0.7676049969699401; 'recall': 0.7816444899351757; 'f1-score': 0.772227880353296; 'support': 2931}}
