l: lamda, n_clause, rule_type, id_cv, train_size, val_size, n_partitions, real_partition_size, n_features, training_time, val_accuracy, rule_size, rule, classification_report_train, classification_report_val
l: 5,1,CNF,0,468,53,1,[468; 468],14,0.149277,0.716981,0,[],{'0.0': {'precision': 0.7136752136752137; 'recall': 1.0; 'f1-score': 0.8329177057356608; 'support': 334}; '1.0': {'precision': 0.0; 'recall': 0.0; 'f1-score': 0.0; 'support': 134}; 'accuracy': 0.7136752136752137; 'macro avg': {'precision': 0.35683760683760685; 'recall': 0.5; 'f1-score': 0.4164588528678304; 'support': 468}; 'weighted avg': {'precision': 0.5093323106143619; 'recall': 0.7136752136752137; 'f1-score': 0.5944327216147666; 'support': 468}},{'0.0': {'precision': 0.7169811320754716; 'recall': 1.0; 'f1-score': 0.8351648351648352; 'support': 38}; '1.0': {'precision': 0.0; 'recall': 0.0; 'f1-score': 0.0; 'support': 15}; 'accuracy': 0.7169811320754716; 'macro avg': {'precision': 0.3584905660377358; 'recall': 0.5; 'f1-score': 0.4175824175824176; 'support': 53}; 'weighted avg': {'precision': 0.5140619437522249; 'recall': 0.7169811320754716; 'f1-score': 0.5987974289861082; 'support': 53}}
l: 5,1,DNF,0,468,53,1,[468; 468],14,0.119705,0.622642,4,[X2 < 1.650000 AND X4 < 211.500000 AND X5 < 61.500000 AND X9 >= 0.895000],{'0.0': {'precision': 0.8256880733944955; 'recall': 0.8083832335329342; 'f1-score': 0.8169440242057489; 'support': 334}; '1.0': {'precision': 0.5460992907801419; 'recall': 0.5746268656716418; 'f1-score': 0.56; 'support': 134}; 'accuracy': 0.7414529914529915; 'macro avg': {'precision': 0.6858936820873187; 'recall': 0.691505049602288; 'f1-score': 0.6884720121028745; 'support': 468}; 'weighted avg': {'precision': 0.7456348749536336; 'recall': 0.7414529914529915; 'f1-score': 0.7433745813776071; 'support': 468}},{'0.0': {'precision': 0.7368421052631579; 'recall': 0.7368421052631579; 'f1-score': 0.7368421052631579; 'support': 38}; '1.0': {'precision': 0.3333333333333333; 'recall': 0.3333333333333333; 'f1-score': 0.3333333333333333; 'support': 15}; 'accuracy': 0.6226415094339622; 'macro avg': {'precision': 0.5350877192982456; 'recall': 0.5350877192982456; 'f1-score': 0.5350877192982456; 'support': 53}; 'weighted avg': {'precision': 0.6226415094339622; 'recall': 0.6226415094339622; 'f1-score': 0.6226415094339622; 'support': 53}}
l: 5,1,DNF,1,469,52,1,[469; 469],14,0.117242,0.692308,4,[X2 < 1.650000 AND X4 < 211.500000 AND X5 < 61.500000 AND X9 >= 0.895000],{'0.0': {'precision': 0.8157099697885196; 'recall': 0.8083832335329342; 'f1-score': 0.81203007518797; 'support': 334}; '1.0': {'precision': 0.5362318840579711; 'recall': 0.5481481481481482; 'f1-score': 0.5421245421245422; 'support': 135}; 'accuracy': 0.7334754797441365; 'macro avg': {'precision': 0.6759709269232453; 'recall': 0.6782656908405411; 'f1-score': 0.677077308656256; 'support': 469}; 'weighted avg': {'precision': 0.7352631860494493; 'recall': 0.7334754797441365; 'f1-score': 0.7343387170567061; 'support': 469}},{'0.0': {'precision': 0.8235294117647058; 'recall': 0.7368421052631579; 'f1-score': 0.7777777777777778; 'support': 38}; '1.0': {'precision': 0.4444444444444444; 'recall': 0.5714285714285714; 'f1-score': 0.5; 'support': 14}; 'accuracy': 0.6923076923076923; 'macro avg': {'precision': 0.6339869281045751; 'recall': 0.6541353383458646; 'f1-score': 0.6388888888888888; 'support': 52}; 'weighted avg': {'precision': 0.7214680744092508; 'recall': 0.6923076923076923; 'f1-score': 0.702991452991453; 'support': 52}}
l: 5,1,DNF,2,469,52,1,[469; 469],14,0.167091,0.750000,4,[X2 < 1.650000 AND X4 < 211.500000 AND X5 < 61.500000 AND X9 >= 0.895000],{'0.0': {'precision': 0.8145896656534954; 'recall': 0.8; 'f1-score': 0.8072289156626506; 'support': 335}; '1.0': {'precision': 0.5214285714285715; 'recall': 0.5447761194029851; 'f1-score': 0.5328467153284672; 'support': 134}; 'accuracy': 0.7270788912579957; 'macro avg': {'precision': 0.6680091185410335; 'recall': 0.6723880597014926; 'f1-score': 0.6700378154955589; 'support': 469}; 'weighted avg': {'precision': 0.7308293530178029; 'recall': 0.7270788912579957; 'f1-score': 0.7288340012814554; 'support': 469}},{'0.0': {'precision': 0.8333333333333334; 'recall': 0.8108108108108109; 'f1-score': 0.8219178082191781; 'support': 37}; '1.0': {'precision': 0.5625; 'recall': 0.6; 'f1-score': 0.5806451612903225; 'support': 15}; 'accuracy': 0.75; 'macro avg': {'precision': 0.6979166666666667; 'recall': 0.7054054054054054; 'f1-score': 0.7012814847547504; 'support': 52}; 'weighted avg': {'precision': 0.7552083333333334; 'recall': 0.75; 'f1-score': 0.7523199292973929; 'support': 52}}
l: 5,1,DNF,3,469,52,1,[469; 469],14,0.145857,0.673077,4,[X2 < 1.650000 AND X4 < 211.500000 AND X6 < 59.500000 AND X9 >= 0.895000],{'0.0': {'precision': 0.8138138138138138; 'recall': 0.808955223880597; 'f1-score': 0.811377245508982; 'support': 335}; '1.0': {'precision': 0.5294117647058824; 'recall': 0.5373134328358209; 'f1-score': 0.5333333333333332; 'support': 134}; 'accuracy': 0.7313432835820896; 'macro avg': {'precision': 0.671612789259848; 'recall': 0.673134328358209; 'f1-score': 0.6723552894211576; 'support': 469}; 'weighted avg': {'precision': 0.732556085497262; 'recall': 0.7313432835820896; 'f1-score': 0.7319361277445109; 'support': 469}},{'0.0': {'precision': 0.75; 'recall': 0.8108108108108109; 'f1-score': 0.7792207792207791; 'support': 37}; '1.0': {'precision': 0.4166666666666667; 'recall': 0.3333333333333333; 'f1-score': 0.3703703703703704; 'support': 15}; 'accuracy': 0.6730769230769231; 'macro avg': {'precision': 0.5833333333333334; 'recall': 0.5720720720720721; 'f1-score': 0.5747955747955747; 'support': 52}; 'weighted avg': {'precision': 0.6538461538461539; 'recall': 0.6730769230769231; 'f1-score': 0.6612831612831612; 'support': 52}}
l: 5,1,DNF,4,469,52,1,[469; 469],14,0.209931,0.692308,4,[X2 < 1.650000 AND X4 < 211.500000 AND X5 < 61.500000 AND X9 >= 0.895000],{'0.0': {'precision': 0.8143712574850299; 'recall': 0.8119402985074626; 'f1-score': 0.8131539611360239; 'support': 335}; '1.0': {'precision': 0.5333333333333333; 'recall': 0.5373134328358209; 'f1-score': 0.5353159851301115; 'support': 134}; 'accuracy': 0.7334754797441365; 'macro avg': {'precision': 0.6738522954091817; 'recall': 0.6746268656716418; 'f1-score': 0.6742349731330677; 'support': 469}; 'weighted avg': {'precision': 0.7340747077274025; 'recall': 0.7334754797441365; 'f1-score': 0.7337716822771918; 'support': 469}},{'0.0': {'precision': 0.8387096774193549; 'recall': 0.7027027027027027; 'f1-score': 0.7647058823529411; 'support': 37}; '1.0': {'precision': 0.47619047619047616; 'recall': 0.6666666666666666; 'f1-score': 0.5555555555555556; 'support': 15}; 'accuracy': 0.6923076923076923; 'macro avg': {'precision': 0.6574500768049155; 'recall': 0.6846846846846847; 'f1-score': 0.6601307189542484; 'support': 52}; 'weighted avg': {'precision': 0.7341368309110246; 'recall': 0.6923076923076923; 'f1-score': 0.7043740573152337; 'support': 52}}
l: 5,1,DNF,5,469,52,1,[469; 469],14,0.146357,0.750000,4,[X2 < 1.650000 AND X4 < 211.500000 AND X5 < 61.500000 AND X9 >= 0.895000],{'0.0': {'precision': 0.8204334365325078; 'recall': 0.7910447761194029; 'f1-score': 0.8054711246200608; 'support': 335}; '1.0': {'precision': 0.5205479452054794; 'recall': 0.5671641791044776; 'f1-score': 0.5428571428571428; 'support': 134}; 'accuracy': 0.7270788912579957; 'macro avg': {'precision': 0.6704906908689936; 'recall': 0.6791044776119403; 'f1-score': 0.6741641337386017; 'support': 469}; 'weighted avg': {'precision': 0.7347518675819283; 'recall': 0.7270788912579957; 'f1-score': 0.7304385584020842; 'support': 469}},{'0.0': {'precision': 0.7857142857142857; 'recall': 0.8918918918918919; 'f1-score': 0.8354430379746834; 'support': 37}; '1.0': {'precision': 0.6; 'recall': 0.4; 'f1-score': 0.48; 'support': 15}; 'accuracy': 0.75; 'macro avg': {'precision': 0.6928571428571428; 'recall': 0.645945945945946; 'f1-score': 0.6577215189873418; 'support': 52}; 'weighted avg': {'precision': 0.7321428571428571; 'recall': 0.75; 'f1-score': 0.7329113924050632; 'support': 52}}
l: 5,1,DNF,6,469,52,1,[469; 469],14,0.164358,0.711538,4,[X2 < 1.650000 AND X4 < 211.500000 AND X5 < 61.500000 AND X9 >= 0.895000],{'0.0': {'precision': 0.8215384615384616; 'recall': 0.7970149253731343; 'f1-score': 0.8090909090909091; 'support': 335}; '1.0': {'precision': 0.5277777777777778; 'recall': 0.5671641791044776; 'f1-score': 0.5467625899280575; 'support': 134}; 'accuracy': 0.7313432835820896; 'macro avg': {'precision': 0.6746581196581196; 'recall': 0.682089552238806; 'f1-score': 0.6779267495094833; 'support': 469}; 'weighted avg': {'precision': 0.7376068376068377; 'recall': 0.7313432835820896; 'f1-score': 0.7341399607586658; 'support': 469}},{'0.0': {'precision': 0.775; 'recall': 0.8378378378378378; 'f1-score': 0.8051948051948051; 'support': 37}; '1.0': {'precision': 0.5; 'recall': 0.4; 'f1-score': 0.4444444444444445; 'support': 15}; 'accuracy': 0.7115384615384616; 'macro avg': {'precision': 0.6375; 'recall': 0.6189189189189189; 'f1-score': 0.6248196248196248; 'support': 52}; 'weighted avg': {'precision': 0.6956730769230769; 'recall': 0.7115384615384616; 'f1-score': 0.7011322011322011; 'support': 52}}
l: 5,1,DNF,7,469,52,1,[469; 469],14,0.147561,0.711538,5,[X1 AND X2 < 1.650000 AND X4 < 211.500000 AND X5 < 61.500000 AND X9 >= 0.895000],{'0.0': {'precision': 0.7745358090185677; 'recall': 0.8716417910447761; 'f1-score': 0.8202247191011237; 'support': 335}; '1.0': {'precision': 0.532608695652174; 'recall': 0.3656716417910448; 'f1-score': 0.4336283185840708; 'support': 134}; 'accuracy': 0.7270788912579957; 'macro avg': {'precision': 0.6535722523353709; 'recall': 0.6186567164179104; 'f1-score': 0.6269265188425972; 'support': 469}; 'weighted avg': {'precision': 0.7054137766281694; 'recall': 0.7270788912579957; 'f1-score': 0.70976860466768; 'support': 469}},{'0.0': {'precision': 0.775; 'recall': 0.8378378378378378; 'f1-score': 0.8051948051948051; 'support': 37}; '1.0': {'precision': 0.5; 'recall': 0.4; 'f1-score': 0.4444444444444445; 'support': 15}; 'accuracy': 0.7115384615384616; 'macro avg': {'precision': 0.6375; 'recall': 0.6189189189189189; 'f1-score': 0.6248196248196248; 'support': 52}; 'weighted avg': {'precision': 0.6956730769230769; 'recall': 0.7115384615384616; 'f1-score': 0.7011322011322011; 'support': 52}}
l: 5,1,DNF,8,469,52,1,[469; 469],14,0.137806,0.730769,4,[X2 < 1.650000 AND X4 < 211.500000 AND X5 < 61.500000 AND X9 >= 0.895000],{'0.0': {'precision': 0.8190184049079755; 'recall': 0.7970149253731343; 'f1-score': 0.8078668683812406; 'support': 335}; '1.0': {'precision': 0.5244755244755245; 'recall': 0.5597014925373134; 'f1-score': 0.5415162454873647; 'support': 134}; 'accuracy': 0.7292110874200426; 'macro avg': {'precision': 0.67174696469175; 'recall': 0.6783582089552238; 'f1-score': 0.6746915569343026; 'support': 469}; 'weighted avg': {'precision': 0.7348632962129895; 'recall': 0.7292110874200426; 'f1-score': 0.7317666904115617; 'support': 469}},{'0.0': {'precision': 0.7948717948717948; 'recall': 0.8378378378378378; 'f1-score': 0.8157894736842105; 'support': 37}; '1.0': {'precision': 0.5384615384615384; 'recall': 0.4666666666666667; 'f1-score': 0.5; 'support': 15}; 'accuracy': 0.7307692307692307; 'macro avg': {'precision': 0.6666666666666666; 'recall': 0.6522522522522523; 'f1-score': 0.6578947368421053; 'support': 52}; 'weighted avg': {'precision': 0.7209072978303748; 'recall': 0.7307692307692307; 'f1-score': 0.7246963562753036; 'support': 52}}
l: 5,1,DNF,9,469,52,1,[469; 469],14,0.191001,0.807692,4,[X2 < 1.650000 AND X4 < 211.500000 AND X5 < 61.500000 AND X9 >= 0.895000],{'0.0': {'precision': 0.8053892215568862; 'recall': 0.8029850746268656; 'f1-score': 0.804185351270553; 'support': 335}; '1.0': {'precision': 0.5111111111111111; 'recall': 0.5149253731343284; 'f1-score': 0.5130111524163569; 'support': 134}; 'accuracy': 0.720682302771855; 'macro avg': {'precision': 0.6582501663339986; 'recall': 0.658955223880597; 'f1-score': 0.658598251843455; 'support': 469}; 'weighted avg': {'precision': 0.7213097614295219; 'recall': 0.720682302771855; 'f1-score': 0.720992723026497; 'support': 469}},{'0.0': {'precision': 0.9354838709677419; 'recall': 0.7837837837837838; 'f1-score': 0.8529411764705881; 'support': 37}; '1.0': {'precision': 0.6190476190476191; 'recall': 0.8666666666666667; 'f1-score': 0.7222222222222222; 'support': 15}; 'accuracy': 0.8076923076923077; 'macro avg': {'precision': 0.7772657450076805; 'recall': 0.8252252252252252; 'f1-score': 0.7875816993464051; 'support': 52}; 'weighted avg': {'precision': 0.8442041829138602; 'recall': 0.8076923076923077; 'f1-score': 0.8152337858220211; 'support': 52}}
r: ---> Params: {'lamda': 5, 'n_clause': 1, 'rule_type': 'DNF', 'real_partition_size': [469, 469], 'n_partitions': 1}, (mean val acc cv) 0.714187 (+- 0.047566), (mean training time) 0.154691 (+- 0.027798)
l: 5,2,CNF,0,468,53,1,[468; 468],14,1.338183,0.716981,0,[] AND [],{'0.0': {'precision': 0.7136752136752137; 'recall': 1.0; 'f1-score': 0.8329177057356608; 'support': 334}; '1.0': {'precision': 0.0; 'recall': 0.0; 'f1-score': 0.0; 'support': 134}; 'accuracy': 0.7136752136752137; 'macro avg': {'precision': 0.35683760683760685; 'recall': 0.5; 'f1-score': 0.4164588528678304; 'support': 468}; 'weighted avg': {'precision': 0.5093323106143619; 'recall': 0.7136752136752137; 'f1-score': 0.5944327216147666; 'support': 468}},{'0.0': {'precision': 0.7169811320754716; 'recall': 1.0; 'f1-score': 0.8351648351648352; 'support': 38}; '1.0': {'precision': 0.0; 'recall': 0.0; 'f1-score': 0.0; 'support': 15}; 'accuracy': 0.7169811320754716; 'macro avg': {'precision': 0.3584905660377358; 'recall': 0.5; 'f1-score': 0.4175824175824176; 'support': 53}; 'weighted avg': {'precision': 0.5140619437522249; 'recall': 0.7169811320754716; 'f1-score': 0.5987974289861082; 'support': 53}}
l: 5,2,CNF,1,469,52,1,[469; 469],14,1.398274,0.730769,0,[] AND [],{'0.0': {'precision': 0.7121535181236673; 'recall': 1.0; 'f1-score': 0.8318804483188045; 'support': 334}; '1.0': {'precision': 0.0; 'recall': 0.0; 'f1-score': 0.0; 'support': 135}; 'accuracy': 0.7121535181236673; 'macro avg': {'precision': 0.35607675906183367; 'recall': 0.5; 'f1-score': 0.41594022415940224; 'support': 469}; 'weighted avg': {'precision': 0.5071626333759166; 'recall': 0.7121535181236673; 'f1-score': 0.5924265879285303; 'support': 469}},{'0.0': {'precision': 0.7307692307692307; 'recall': 1.0; 'f1-score': 0.8444444444444443; 'support': 38}; '1.0': {'precision': 0.0; 'recall': 0.0; 'f1-score': 0.0; 'support': 14}; 'accuracy': 0.7307692307692307; 'macro avg': {'precision': 0.36538461538461536; 'recall': 0.5; 'f1-score': 0.42222222222222217; 'support': 52}; 'weighted avg': {'precision': 0.5340236686390532; 'recall': 0.7307692307692307; 'f1-score': 0.6170940170940169; 'support': 52}}
l: 5,2,CNF,2,469,52,1,[469; 469],14,1.121517,0.711538,0,[] AND [],{'0.0': {'precision': 0.7142857142857143; 'recall': 1.0; 'f1-score': 0.8333333333333333; 'support': 335}; '1.0': {'precision': 0.0; 'recall': 0.0; 'f1-score': 0.0; 'support': 134}; 'accuracy': 0.7142857142857143; 'macro avg': {'precision': 0.35714285714285715; 'recall': 0.5; 'f1-score': 0.41666666666666663; 'support': 469}; 'weighted avg': {'precision': 0.5102040816326531; 'recall': 0.7142857142857143; 'f1-score': 0.5952380952380951; 'support': 469}},{'0.0': {'precision': 0.7115384615384616; 'recall': 1.0; 'f1-score': 0.8314606741573033; 'support': 37}; '1.0': {'precision': 0.0; 'recall': 0.0; 'f1-score': 0.0; 'support': 15}; 'accuracy': 0.7115384615384616; 'macro avg': {'precision': 0.3557692307692308; 'recall': 0.5; 'f1-score': 0.41573033707865165; 'support': 52}; 'weighted avg': {'precision': 0.5062869822485208; 'recall': 0.7115384615384616; 'f1-score': 0.5916162489196196; 'support': 52}}
