l: lamda, n_clause, rule_type, id_cv, train_size, val_size, n_partitions, real_partition_size, n_features, training_time, val_accuracy, rule_size, rule, classification_report_train, classification_report_val
l: 5,1,CNF,0,26374,2931,3296,[8; 9],262,95.889158,0.700785,6,[X3 == 2 OR X3 == 10 OR X3 == 12 OR X5 == 1 OR X6 == 12 OR X6 == 13],{'0': {'precision': 0.7893216503779308; 'recall': 0.8188083703740698; 'f1-score': 0.8037946756876012; 'support': 20023}; '1': {'precision': 0.3524897376405497; 'recall': 0.31097464966147065; 'f1-score': 0.33043332775639955; 'support': 6351}; 'accuracy': 0.6965192993099264; 'macro avg': {'precision': 0.5709056940092403; 'recall': 0.5648915100177703; 'f1-score': 0.5671140017220004; 'support': 26374}; 'weighted avg': {'precision': 0.6841301937238357; 'recall': 0.6965192993099264; 'f1-score': 0.6898067360231187; 'support': 26374}},{'0': {'precision': 0.7930434782608695; 'recall': 0.8197752808988764; 'f1-score': 0.8061878453038673; 'support': 2225}; '1': {'precision': 0.36450079239302696; 'recall': 0.32577903682719545; 'f1-score': 0.34405385190725507; 'support': 706}; 'accuracy': 0.7007847151142954; 'macro avg': {'precision': 0.5787721353269483; 'recall': 0.5727771588630359; 'f1-score': 0.5751208486055612; 'support': 2931}; 'weighted avg': {'precision': 0.6898189350255585; 'recall': 0.7007847151142954; 'f1-score': 0.6948720488732947; 'support': 2931}}
l: 5,1,CNF,0,26374,2931,1648,[16; 17],262,56.081838,0.735585,5,[X1 == 6 OR X3 == 12 OR X3 == 14 OR X13 == 2 OR X13 == 30],{'0': {'precision': 0.7897879165924078; 'recall': 0.8852819257853468; 'f1-score': 0.8348129135564085; 'support': 20023}; '1': {'precision': 0.41552162849872776; 'recall': 0.25712486222642106; 'f1-score': 0.31767337807606266; 'support': 6351}; 'accuracy': 0.7340183514066884; 'macro avg': {'precision': 0.6026547725455678; 'recall': 0.5712033940058839; 'f1-score': 0.5762431458162356; 'support': 26374}; 'weighted avg': {'precision': 0.6996625963647987; 'recall': 0.7340183514066884; 'f1-score': 0.7102829526162524; 'support': 26374}},{'0': {'precision': 0.7895367412140575; 'recall': 0.8885393258426967; 'f1-score': 0.8361175724254599; 'support': 2225}; '1': {'precision': 0.41920374707259955; 'recall': 0.2535410764872521; 'f1-score': 0.3159752868490733; 'support': 706}; 'accuracy': 0.7355851245308769; 'macro avg': {'precision': 0.6043702441433285; 'recall': 0.5710402011649744; 'f1-score': 0.5760464296372666; 'support': 2931}; 'weighted avg': {'precision': 0.7003333656207892; 'recall': 0.7355851245308769; 'f1-score': 0.7108291201508339; 'support': 2931}}
l: 5,1,CNF,1,26374,2931,1648,[16; 17],262,56.006358,0.698738,6,[X3 == 8 OR X3 == 10 OR X5 == 1 OR X6 == 7 OR X7 == 5 OR X13 == 10],{'0': {'precision': 0.7715703971119133; 'recall': 0.8539179943065475; 'f1-score': 0.8106583220728729; 'support': 20023}; '1': {'precision': 0.30588514475557665; 'recall': 0.20296016375373957; 'f1-score': 0.24401325130146712; 'support': 6351}; 'accuracy': 0.6971638735117919; 'macro avg': {'precision': 0.538727770933745; 'recall': 0.5284390790301435; 'f1-score': 0.52733578668717; 'support': 26374}; 'weighted avg': {'precision': 0.6594309022413933; 'recall': 0.6971638735117919; 'f1-score': 0.6742071639448226; 'support': 26374}},{'0': {'precision': 0.7718800648298217; 'recall': 0.8561797752808988; 'f1-score': 0.8118474323460473; 'support': 2225}; '1': {'precision': 0.30885529157667385; 'recall': 0.20254957507082152; 'f1-score': 0.24465355004277156; 'support': 706}; 'accuracy': 0.6987376322074378; 'macro avg': {'precision': 0.5403676782032478; 'recall': 0.5293646751758602; 'f1-score': 0.5282504911944095; 'support': 2931}; 'weighted avg': {'precision': 0.6603497032069209; 'recall': 0.6987376322074378; 'f1-score': 0.6752255009553572; 'support': 2931}}
l: 5,1,CNF,2,26374,2931,1648,[16; 17],262,58.462670,0.643125,5,[X6 == 3 OR X6 == 14 OR X7 == 5 OR X12 >= 48.000000 OR X13 == 32],{'0': {'precision': 0.825391888529485; 'recall': 0.6626879089047595; 'f1-score': 0.7351450178675311; 'support': 20023}; '1': {'precision': 0.3441444940765197; 'recall': 0.5580223586836719; 'f1-score': 0.42573127515166076; 'support': 6351}; 'accuracy': 0.6374838856449534; 'macro avg': {'precision': 0.5847681913030023; 'recall': 0.6103551337942157; 'f1-score': 0.5804381465095959; 'support': 26374}; 'weighted avg': {'precision': 0.7095049467621846; 'recall': 0.6374838856449534; 'f1-score': 0.6606365367881161; 'support': 26374}},{'0': {'precision': 0.826955074875208; 'recall': 0.6701123595505618; 'f1-score': 0.740317775571003; 'support': 2225}; '1': {'precision': 0.34929078014184395; 'recall': 0.5580736543909348; 'f1-score': 0.4296619411123228; 'support': 706}; 'accuracy': 0.6431252132378028; 'macro avg': {'precision': 0.588122927508526; 'recall': 0.6140930069707483; 'f1-score': 0.5849898583416628; 'support': 2931}; 'weighted avg': {'precision': 0.7118984416163355; 'recall': 0.6431252132378028; 'f1-score': 0.6654890416481684; 'support': 2931}}
l: 5,1,CNF,3,26374,2931,1648,[16; 17],262,54.608228,0.728079,7,[X3 == 10 OR X3 == 12 OR X5 == 3 OR X6 == 14 OR X13 == 20 OR X13 == 30 OR X13 == 31],{'0': {'precision': 0.7816202509509028; 'recall': 0.8928731958248015; 'f1-score': 0.83355091383812; 'support': 20023}; '1': {'precision': 0.3873179091688089; 'recall': 0.2135096835144072; 'f1-score': 0.27527405602923266; 'support': 6351}; 'accuracy': 0.729278835216501; 'macro avg': {'precision': 0.5844690800598559; 'recall': 0.5531914396696044; 'f1-score': 0.5544124849336763; 'support': 26374}; 'weighted avg': {'precision': 0.6866701420308271; 'recall': 0.729278835216501; 'f1-score': 0.6991148660659109; 'support': 26374}},{'0': {'precision': 0.7811023622047244; 'recall': 0.891685393258427; 'f1-score': 0.8327387198321092; 'support': 2225}; '1': {'precision': 0.3836317135549872; 'recall': 0.21246458923512748; 'f1-score': 0.27347310847766637; 'support': 706}; 'accuracy': 0.7280791538723985; 'macro avg': {'precision': 0.5823670378798558; 'recall': 0.5520749912467773; 'f1-score': 0.5531059141548877; 'support': 2931}; 'weighted avg': {'precision': 0.6853622469039006; 'recall': 0.7280791538723985; 'f1-score': 0.6980264981957268; 'support': 2931}}
l: 5,1,CNF,4,26374,2931,1648,[16; 17],262,56.283421,0.633572,8,[X2 < 65716.000000 OR X3 == 9 OR X3 == 12 OR X6 == 7 OR X13 == 7 OR X13 == 13 OR X13 == 22 OR X13 == 30],{'0': {'precision': 0.8088356729975227; 'recall': 0.6848624082305349; 'f1-score': 0.7417043026746356; 'support': 20023}; '1': {'precision': 0.33014861995753714; 'recall': 0.4896866635175563; 'f1-score': 0.3943947752203411; 'support': 6351}; 'accuracy': 0.6378630469401684; 'macro avg': {'precision': 0.5694921464775299; 'recall': 0.5872745358740457; 'f1-score': 0.5680495389474883; 'support': 26374}; 'weighted avg': {'precision': 0.6935652751110835; 'recall': 0.6378630469401684; 'f1-score': 0.6580703143201112; 'support': 26374}},{'0': {'precision': 0.8043363299841354; 'recall': 0.6835955056179776; 'f1-score': 0.7390670553935861; 'support': 2225}; '1': {'precision': 0.3230769230769231; 'recall': 0.47592067988668557; 'f1-score': 0.3848797250859107; 'support': 706}; 'accuracy': 0.6335721596724667; 'macro avg': {'precision': 0.5637066265305293; 'recall': 0.5797580927523316; 'f1-score': 0.5619733902397483; 'support': 2931}; 'weighted avg': {'precision': 0.6884137297533296; 'recall': 0.6335721596724667; 'f1-score': 0.6537527410990727; 'support': 2931}}
l: 5,1,CNF,5,26375,2930,1648,[16; 17],262,58.996528,0.709898,5,[X3 == 2 OR X3 == 10 OR X3 == 14 OR X5 == 2 OR X13 == 31],{'0': {'precision': 0.9408508158508159; 'recall': 0.6450581830894472; 'f1-score': 0.7653699149654825; 'support': 20023}; '1': {'precision': 0.4380485490630189; 'recall': 0.8721662468513854; 'f1-score': 0.5831885888730985; 'support': 6352}; 'accuracy': 0.6997535545023696; 'macro avg': {'precision': 0.6894496824569174; 'recall': 0.7586122149704163; 'f1-score': 0.6742792519192905; 'support': 26375}; 'weighted avg': {'precision': 0.8197588727745662; 'recall': 0.6997535545023696; 'f1-score': 0.7214944350284654; 'support': 26375}},{'0': {'precision': 0.9508196721311475; 'recall': 0.651685393258427; 'f1-score': 0.7733333333333333; 'support': 2225}; '1': {'precision': 0.4483985765124555; 'recall': 0.8936170212765957; 'f1-score': 0.5971563981042655; 'support': 705}; 'accuracy': 0.7098976109215017; 'macro avg': {'precision': 0.6996091243218014; 'recall': 0.7726512072675114; 'f1-score': 0.6852448657187994; 'support': 2930}; 'weighted avg': {'precision': 0.8299299545846704; 'recall': 0.7098976109215017; 'f1-score': 0.7309426373140525; 'support': 2930}}
l: 5,1,CNF,6,26375,2930,1648,[16; 17],262,54.647351,0.655973,5,[X0 >= 50.000000 OR X1 == 1 OR X3 == 14 OR X6 == 11 OR X6 == 14],{'0': {'precision': 0.7983106827657155; 'recall': 0.7363531938270989; 'f1-score': 0.7660812636391977; 'support': 20023}; '1': {'precision': 0.33227928155831016; 'recall': 0.4135705289672544; 'f1-score': 0.3684948800673306; 'support': 6352}; 'accuracy': 0.6586161137440758; 'macro avg': {'precision': 0.5652949821620128; 'recall': 0.5749618613971766; 'f1-score': 0.5672880718532641; 'support': 26375}; 'weighted avg': {'precision': 0.6860744188616609; 'recall': 0.6586161137440758; 'f1-score': 0.6703288955463637; 'support': 26375}},{'0': {'precision': 0.8025857782197912; 'recall': 0.7253932584269663; 'f1-score': 0.7620396600566574; 'support': 2225}; '1': {'precision': 0.33514689880304677; 'recall': 0.4368794326241135; 'f1-score': 0.37931034482758624; 'support': 705}; 'accuracy': 0.6559726962457337; 'macro avg': {'precision': 0.568866338511419; 'recall': 0.5811363455255399; 'f1-score': 0.5706750024421218; 'support': 2930}; 'weighted avg': {'precision': 0.690113283343066; 'recall': 0.6559726962457337; 'f1-score': 0.6699495005902768; 'support': 2930}}
l: 5,1,CNF,7,26375,2930,1648,[16; 17],262,59.303262,0.722184,6,[X1 == 1 OR X1 == 2 OR X3 == 8 OR X3 == 10 OR X3 == 12 OR X7 == 5],{'0': {'precision': 0.8019300126718004; 'recall': 0.8217549817709634; 'f1-score': 0.8117214671567056; 'support': 20023}; '1': {'precision': 0.390643674235957; 'recall': 0.3602015113350126; 'f1-score': 0.37480547137357684; 'support': 6352}; 'accuracy': 0.7105971563981043; 'macro avg': {'precision': 0.5962868434538787; 'recall': 0.590978246552988; 'f1-score': 0.5932634692651412; 'support': 26375}; 'weighted avg': {'precision': 0.7028782279611093; 'recall': 0.7105971563981043; 'f1-score': 0.7064971863902816; 'support': 26375}},{'0': {'precision': 0.8060737527114967; 'recall': 0.8350561797752809; 'f1-score': 0.820309050772627; 'support': 2225}; '1': {'precision': 0.4128; 'recall': 0.3659574468085106; 'f1-score': 0.3879699248120301; 'support': 705}; 'accuracy': 0.7221843003412969; 'macro avg': {'precision': 0.6094368763557484; 'recall': 0.6005068132918958; 'f1-score': 0.6041394877923285; 'support': 2930}; 'weighted avg': {'precision': 0.7114464504379113; 'recall': 0.7221843003412969; 'f1-score': 0.7162820597138485; 'support': 2930}}
l: 5,1,CNF,8,26375,2930,1648,[16; 17],262,55.707576,0.686348,5,[X1 == 0 OR X1 == 5 OR X3 == 9 OR X3 == 14 OR X6 == 4],{'0': {'precision': 0.8286948715071261; 'recall': 0.7375649220934878; 'f1-score': 0.780478782434075; 'support': 20024}; '1': {'precision': 0.3855956974161113; 'recall': 0.5192883010549519; 'f1-score': 0.442565754159957; 'support': 6351}; 'accuracy': 0.6850047393364929; 'macro avg': {'precision': 0.6071452844616188; 'recall': 0.6284266115742199; 'f1-score': 0.6115222682970161; 'support': 26375}; 'weighted avg': {'precision': 0.7219982703828782; 'recall': 0.6850047393364929; 'f1-score': 0.6991106064125044; 'support': 26375}},{'0': {'precision': 0.8407310704960835; 'recall': 0.7239208633093526; 'f1-score': 0.7779656921961827; 'support': 2224}; '1': {'precision': 0.39507389162561574; 'recall': 0.5679886685552408; 'f1-score': 0.4660081348053457; 'support': 706}; 'accuracy': 0.6863481228668942; 'macro avg': {'precision': 0.6179024810608497; 'recall': 0.6459547659322966; 'f1-score': 0.6219869135007642; 'support': 2930}; 'weighted avg': {'precision': 0.7333474635737115; 'recall': 0.6863481228668942; 'f1-score': 0.7027977619852848; 'support': 2930}}
l: 5,1,CNF,9,26375,2930,1648,[16; 17],262,55.663140,0.680887,6,[X1 == 1 OR X1 == 2 OR X1 == 6 OR X6 == 5 OR X13 == 9 OR X13 == 18],{'0': {'precision': 0.7699677524886667; 'recall': 0.8227626847782661; 'f1-score': 0.7954902102798097; 'support': 20024}; '1': {'precision': 0.2870630775411812; 'recall': 0.2250039363879704; 'f1-score': 0.252272927884191; 'support': 6351}; 'accuracy': 0.678824644549763; 'macro avg': {'precision': 0.5285154150149239; 'recall': 0.5238833105831182; 'f1-score': 0.5238815690820003; 'support': 26375}; 'weighted avg': {'precision': 0.653686137679511; 'recall': 0.678824644549763; 'f1-score': 0.6646855482705367; 'support': 26375}},{'0': {'precision': 0.7743720732226479; 'recall': 0.8178956834532374; 'f1-score': 0.7955390334572491; 'support': 2224}; '1': {'precision': 0.3029259896729776; 'recall': 0.24929178470254956; 'f1-score': 0.2735042735042735; 'support': 706}; 'accuracy': 0.6808873720136519; 'macro avg': {'precision': 0.5386490314478127; 'recall': 0.5335937340778935; 'f1-score': 0.5345216534807613; 'support': 2930}; 'weighted avg': {'precision': 0.6607744844902018; 'recall': 0.6808873720136519; 'f1-score': 0.6697518182603888; 'support': 2930}}
r: ---> Params: {'lamda': 5, 'n_clause': 1, 'rule_type': 'CNF', 'real_partition_size': [16, 17], 'n_partitions': 1648}, (mean val acc cv) 0.689439 (+- 0.034159), (mean training time) 56.576037 (+- 1.633708)
l: 5,1,CNF,0,26374,2931,824,[32; 33],262,39.265375,0.610713,11,[X1 == 5 OR X2 < 65716.000000 OR X3 == 1 OR X6 == 3 OR X6 == 13 OR X13 == 1 OR X13 == 2 OR X13 == 18 OR X13 == 31 OR X13 == 35 OR X13 == 37],{'0': {'precision': 0.7626001198714106; 'recall': 0.6989961544224143; 'f1-score': 0.7294142172190953; 'support': 20023}; '1': {'precision': 0.2485974317416781; 'recall': 0.3139663045189734; 'f1-score': 0.27748399666017254; 'support': 6351}; 'accuracy': 0.6062789110487602; 'macro avg': {'precision': 0.5055987758065443; 'recall': 0.5064812294706939; 'f1-score': 0.5034491069396339; 'support': 26374}; 'weighted avg': {'precision': 0.6388255285196274; 'recall': 0.6062789110487602; 'f1-score': 0.620587007437882; 'support': 26374}},{'0': {'precision': 0.7613307618129219; 'recall': 0.7096629213483147; 'f1-score': 0.7345894394045127; 'support': 2225}; '1': {'precision': 0.24620770128354727; 'recall': 0.2988668555240793; 'f1-score': 0.26999360204734485; 'support': 706}; 'accuracy': 0.6107130672125555; 'macro avg': {'precision': 0.5037692315482346; 'recall': 0.504264888436197; 'f1-score': 0.5022915207259288; 'support': 2931}; 'weighted avg': {'precision': 0.6372513074513598; 'recall': 0.6107130672125555; 'f1-score': 0.6226806501946319; 'support': 2931}}
